site,min_level,max_level,level_difference,slope,slope_per_year,num_years,status
Site_2603,-187.4,-37.33,150.07,-0.4256116807721545,-1.3729409057166273,31,falling
Site_2604,-166.1,-61.8,104.3,-0.2777428133433323,-0.8959445591720396,31,consistent
Site_2605,-231.06,-56.22,174.84,-0.483147730113303,-1.5585410648816225,31,falling
Site_2606,-181.36,-35.15,146.21,-0.36762684225830655,-1.1858930395429244,31,falling
Site_2607,-185.65,-42.51,143.14000000000001,-0.4023306601776323,-1.2978408392826848,31,falling
Site_2608,-203.57,-60.6,142.97,-0.4026640649311563,-1.298916338487601,31,falling
Site_2609,-175.6,-46.26,129.34,-0.3504317937180845,-1.130425141026079,31,falling
Site_261,-204.26,-57.26,147.0,-0.37839439504547934,-1.2206270807918689,31,falling
Site_2610,-198.69,-32.27,166.42,-0.44340594726129073,-1.4303417653590025,31,falling
Site_2611,-180.76,-24.65,156.10999999999999,-0.42857528963437946,-1.3825009343044499,31,falling
Site_2612,-166.58,-25.82,140.76000000000002,-0.3730701116705696,-1.2034519731308695,31,falling
Site_2613,-193.0,-33.45,159.55,-0.4396323492651373,-1.4181688685972171,31,falling
Site_2614,-205.07,-68.3,136.76999999999998,-0.3980113609117299,-1.2839076158442901,31,falling
Site_2615,-183.34,-50.23,133.11,-0.33673937242058327,-1.0862560400663976,31,falling
Site_2616,-249.26,-58.56,190.7,-0.5055045096748854,-1.6306597086286625,31,falling
Site_2617,-202.4,-65.8,136.60000000000002,-0.3565715936395218,-1.150230947224264,31,falling
Site_2618,-189.96,-59.61,130.35000000000002,-0.3604189584895649,-1.1626418015792417,31,falling
Site_2619,-171.93,-46.92,125.01,-0.35807183850874635,-1.1550704468024076,31,falling
Site_262,-216.16,-60.17,155.99,-0.4288554506358947,-1.383404679470628,31,falling
Site_2620,-208.8,-47.42,161.38,-0.4624537299194484,-1.4917862255466077,31,falling
Site_2621,-213.51,-57.22,156.29,-0.4313000846839401,-1.3912905957546455,31,falling
Site_2622,-198.93,-22.61,176.32,-0.508020959275187,-1.6387772879844742,31,falling
Site_2623,-177.44,-46.65,130.79,-0.36248115527259567,-1.1692940492664377,31,falling
Site_2624,-190.8,-41.89,148.91000000000003,-0.3968001050897087,-1.2800003389990602,31,falling
Site_2625,-194.05,-66.12,127.93,-0.34640263387459597,-1.1174278512083742,31,falling
Site_2626,-213.11,-59.6,153.51000000000002,-0.44151282502563477,-1.4242349194375314,31,falling
Site_2627,-204.15,-46.3,157.85000000000002,-0.4451628201792651,-1.4360090973524682,31,falling
Site_2628,-225.72,-61.17,164.55,-0.49550295883646345,-1.5983966414079465,31,falling
Site_2629,-178.89,-23.4,155.48999999999998,-0.43972169337271655,-1.4184570753958596,31,falling
Site_263,-191.16,-27.34,163.82,-0.42470875356463234,-1.3700282373052655,31,falling
Site_2630,-173.54,-30.2,143.34,-0.37279435831509544,-1.2025624461777273,31,falling
Site_2631,-178.26,-49.16,129.1,-0.3708172153267727,-1.1961845655702346,31,falling
Site_2632,-164.44,-49.31,115.13,-0.278617325517924,-0.8987655661868517,31,consistent
Site_2633,-213.63,-59.51,154.12,-0.4712395407681757,-1.5201275508650829,31,falling
