site,slope,intercept
Site_214,-0.38075614636935395,-6.286672384219543
Site_215,-0.36814104439406126,-14.681534410882776
Site_216,-0.37419292803970233,-19.574327543424303
Site_217,-0.45446552882999663,-25.005445772720734
Site_218,-0.5013684210526316,-18.784421052631572
Site_219,-0.4139444298928852,-19.948003143136788
Site_220,-0.4183725998675789,-26.921518428602965
Site_221,-0.49606907395358923,13.360919973975271
Site_222,-0.34700821051214753,-34.07622652937613
Site_223,-0.36878048780487804,-14.833414634146337
Site_224,-0.42991769407939295,-62.11777807885112
Site_225,-0.42565655976676386,-5.518183090378997
Site_226,-0.34863558796152655,-39.81471300031026
Site_227,-0.44498174963699094,-14.993942078409958
Site_228,-0.44152117884356795,-24.531425369789332
Site_229,-0.49237547892720307,-37.006896551724154
Site_230,-0.3786616476119842,-29.099084115811422
Site_231,-0.30498570858543494,-40.533086945546046
Site_232,-0.4066275629558278,-27.158446401541184
Site_233,-0.42054216867469874,-48.712891566265085
Site_234,-0.35010563511251636,-54.26718281569646
Site_235,-0.3897161195003549,-29.02131818792334
Site_236,-0.48854429048062764,-33.57443325618442
Site_237,-0.5466788686857891,5.022635636130445
Site_238,-0.3886380499162093,-46.434181218098786
Site_239,-0.47081699346405226,-36.783529411764704
Site_240,-0.4184437791084499,-35.74614371257482
Site_241,-0.45599166458541457,-23.765800449550454
Site_242,-0.5354869525754482,-23.954818243703187
Site_243,-0.44642529488859767,-25.552136304062913
Site_244,-0.39236412881007326,-42.54934817702417
Site_245,-0.36342908715832906,-18.439317173800916
Site_246,-0.4907070707070708,-32.64727272727269
Site_247,-0.40589518926640145,-17.6166391184573
Site_248,-0.35376278839127256,-9.327237707485125
Site_249,-0.4476237745098039,-34.37326470588236
Site_250,-0.47013423423423417,-61.77100540540542
Site_251,-0.43466758747697976,-43.16180110497238
Site_252,-0.47214403583215464,-30.1468882602546
Site_253,-0.44939284189830686,-33.33114614996572
Site_254,-0.3937304257401517,-20.88422804012724
Site_255,-0.4211808289588801,-58.024940944881905
Site_256,-0.3808752880184331,-12.910937788018458
Site_257,-0.43324821339622455,-75.89838590641548
Site_258,-0.3761353446665421,-79.96476555202692
Site_259,-0.4298715331477472,-24.6377488400866
Site_260,-0.430448275862069,-41.55317241379309
Site_261,-0.3824793388429752,-50.85446280991735
Site_262,-0.4328228076506676,-42.500273547455805
Site_263,-0.43607403239222975,-12.678009003278376
Site_264,-0.43003300905297787,-9.73287004455679
Site_265,-0.4157503993610225,-51.377913738019146
Site_266,-0.36403779536932324,-14.987836200226184
Site_267,-0.3700640723351034,-11.78616037561767
Site_268,-0.457056465476823,-3.885803457006233
Site_269,-0.45199999999999996,-38.908
Site_270,-0.4668181818181819,-40.717272727272714
Site_271,-0.4589085927845029,-51.55574395854738
Site_272,-0.5059704043048284,-8.090392670157058
Site_273,-0.45960303134490865,-49.675745229499725
Site_274,-0.4422574369273251,-18.50239362369777
Site_275,-0.48171330724070455,15.52007436399218
Site_276,-0.43693476963360867,-16.622089759140522
Site_277,-0.4315586885567744,-64.38332327173673
Site_278,-0.4248870479365835,-33.74439764569796
Site_279,-0.3555540935672516,-3.240315789473655
Site_280,-0.3705323508894315,-42.57501220788279
Site_281,-0.43934882312218765,-17.110654205607474
Site_282,-0.4552891403479141,-61.25754568485054
Site_283,-0.45723040808956306,-50.70823185265438
Site_284,-0.46625000000000005,8.310000000000002
Site_285,-0.4072142857142858,-46.03171428571427
Site_286,-0.42966153846153843,-10.393107692307709
Site_287,-0.44412184306921143,-16.31968189705033
Site_288,-0.3994768336314848,-17.543003935599288
Site_289,-0.44051588413267595,-59.098569027341995
Site_290,-0.5078571428571423,-45.39285714285725
Site_291,-0.4600000000000001,-20.859999999999985
Site_292,-0.4268549030029232,-34.79934095136858
Site_293,-0.3069848864585707,-37.24126452494873
Site_294,-0.3797855610055181,-53.6163188228081
Site_295,-0.5039252336448599,-44.97214953271026
Site_296,-0.40791192630898515,-44.97102391725922
Site_297,-0.487746757223181,-38.20670043979291
Site_298,-0.35897435897435903,-55.531538461538446
Site_299,-0.452149247796408,14.534237524024135
Site_300,-0.4453238919485969,-42.86003933910308
Site_301,-0.3955866257154823,-47.40328884545582
Site_302,-0.5035446641481125,-30.484352544007706
Site_303,-0.36779430193129886,-52.406430782839436
Site_304,-0.3625631010526954,-14.586370172617805
Site_305,-0.3882221818951699,-45.344008710643294
Site_306,-0.4561979066177889,-45.111252170557606
Site_307,-0.40193402927636307,-61.05224967630558
Site_308,-0.364453515548919,-39.05804064143349
Site_309,-0.4626584585627138,-35.78577295045382
Site_310,-0.31514285714285717,-75.27914285714284
Site_311,-0.3564356435643564,-39.00990099009901
Site_312,-0.3586171552232934,-2.9586944717686237
Site_313,-0.3599218702313373,-38.90687603003114
Site_314,-0.3917120202394175,-42.96020362828581
Site_315,-0.3520575807787904,-33.03556255178127
Site_316,-0.3603205701562411,-18.960756846251925
Site_317,-0.430134318395035,-52.88098722667243
Site_318,-0.45438312946255605,-38.15324403608791
Site_319,-0.34375,-49.53
Site_320,-0.4509523809523809,-58.674285714285745
Site_321,-0.4856089152237676,-34.0484743116662
Site_322,-0.29672902097902104,-38.99653146853146
Site_323,-0.42036164394419784,-10.771884908053266
Site_324,-0.3954208066896212,-60.0091057550418
Site_325,-0.35250000000000004,-2.009999999999991
Site_326,-0.5250368144659195,14.507951924638618
Site_327,-0.4430163163962046,-56.1584756584198
Site_328,-0.49978377746610564,-12.49670406732119
Site_329,-0.39798212931298316,-35.19586006839563
Site_330,-0.37894405320813773,-20.76808450704226
Site_331,-0.41636761718600285,-24.864594687823384
Site_332,-0.4522159693209453,-19.951350626675804
Site_333,-0.4665358974358974,-7.408246153846164
Site_334,-0.4866666666666667,-56.75999999999999
Site_335,-0.28535629654705486,-6.203039945836153
Site_336,-0.4961635382100936,-41.80867574661977
Site_337,-0.42088888888888887,-6.75800000000001
Site_338,-0.34676241524647256,-1.5793183067619339
Site_339,-0.3434231211076849,-49.46060584074006
Site_340,-0.44999999999999996,3.299999999999983
Site_341,-0.36273996977526446,-47.77816652854287
Site_342,-0.444713150032913,-38.131959592890794
Site_343,-0.48749999999999816,-14.840000000000401
Site_344,-0.4586602545058428,10.920614973262033
Site_345,-0.3748416875522138,-14.674195488721821
Site_346,-0.48566349106014084,-39.376685931009575
Site_347,-0.3882861593235425,-27.100189586114823
Site_348,-0.4012743364428646,-55.79474332834124
Site_349,-0.4191304347826087,-9.93782608695652
Site_350,-0.4463249022580388,-40.25382111226362
Site_351,-0.5380866708385482,11.626720901126419
Site_352,-0.41228064547966836,-19.497380576391635
Site_353,-0.4879015709624247,-34.773260672116265
Site_354,-0.43000000000000005,-43.980000000000004
Site_355,-0.520304576376005,-16.344211502782912
Site_356,-0.40279020375655405,-59.397315988584324
Site_357,-0.421,-33.06400000000001
Site_358,-0.4436280112044818,-46.28634957983195
Site_359,-0.48090194749168,-4.755179341797117
Site_360,-0.39813662288282065,-17.842489457310748
Site_361,-0.3568044287195754,-36.750243396571705
Site_362,-0.3690535885167464,-38.53442488038277
Site_363,-0.3751295107106915,-13.772025686490636
Site_364,-0.4678090713166144,-7.593240595611292
Site_365,-0.4614533679731917,-38.6960725177906
Site_366,-0.3295166852057842,-16.984395995550614
Site_367,-0.434360563407036,-21.808118304080224
Site_368,-0.40105969262885116,-37.60110639216815
Site_369,-0.3902673080358282,-10.782261464261111
Site_370,-0.47087750000000006,-2.0604599999999778
Site_371,-0.4443308472884551,-20.364536985693704
Site_372,-0.47739197119231797,-25.51333422245932
Site_373,-0.4290127517868746,2.606754385964905
Site_374,-0.36784878181570707,-36.16466312780727
Site_375,-0.3952321731095025,-42.18985060834747
Site_376,-0.44342902930402933,-56.44932967032966
Site_377,-0.4197833229036296,-3.4468022528160134
Site_378,-0.37174183861280635,-30.46376285963383
Site_379,-0.3338620235414099,-53.345802915055444
Site_380,-0.39520197054639783,-22.286374361978076
Site_381,-0.44303443505755646,-66.4545620275678
Site_382,-0.4074667677444378,-47.82717816720144
Site_383,-0.3576499229368082,-59.50761664564942
Site_384,-0.4348888888888888,-16.864000000000004
Site_385,-0.38974440633676305,-69.63520823125917
Site_386,-0.35434096064208975,-28.322352501308615
Site_387,-0.4172133282103825,-52.41192110655739
Site_388,-0.43671555765839387,-19.689439545786925
Site_389,-0.478417194092827,-17.741886075949367
Site_390,-0.3390457223401222,-18.1261239745336
Site_391,-0.38378743051819975,-23.91191500806886
Site_392,-0.4837321679726744,-52.103851717902344
Site_393,-0.37935483870967746,-62.16935483870968
Site_394,-0.4773507462686567,-20.97223880597015
Site_395,-0.4039652993681677,-34.31349533647577
Site_396,-0.35657142857142854,-20.08057142857143
Site_397,-0.4863834536474164,-36.24117401215807
Site_398,-0.4229016129032258,-65.38325161290321
Site_399,-0.3670182652210175,-43.304054712260225
Site_400,-0.4324620427881297,-19.93819875776397
Site_401,-0.3724023743044417,-14.211087150240601
Site_402,-0.38030303030303036,-17.854545454545445
Site_403,-0.46912249912249915,-28.439540189540196
Site_404,-0.4322143741097906,-18.53169519228524
Site_405,-0.37688448341593594,-14.582951582157833
Site_406,-0.44556787469287473,-30.407339066339063
Site_407,-0.37518518518518507,-23.910000000000025
Site_408,-0.35051980355383194,-22.3577224323723
Site_409,-0.4753571453566905,-40.90285660295487
Site_410,-0.3154188407659684,-45.27953039455083
Site_411,-0.3570649470041099,-9.513971447112269
Site_412,-0.40710945766067097,-13.90435714529508
Site_413,-0.4326388888888888,-57.000000000000014
Site_414,-0.4558176781667086,-31.42338151599094
Site_415,-0.42041987424340366,-37.53930716342481
Site_416,-0.42368159203980094,-43.92477611940299
Site_417,-0.4165758068260971,-1.4196257255630371
Site_418,-0.5294233874798138,-27.014548304360233
Site_419,-0.33421052631578946,-43.40052631578948
Site_420,-0.48792746000438314,-41.42766863905324
Site_421,-0.45560917399150125,-41.538418417835715
Site_422,-0.3922007570204316,-57.004636483586765
Site_423,-0.3697015621686577,-22.24446257156994
Site_424,-0.3404383445945946,-46.41531756756757
Site_425,-0.30991608375193647,-42.958125909581724
Site_426,-0.406719375,-35.78861500000001
Site_427,-0.43083835754840266,-9.388914769545025
Site_428,-0.3858906099775665,-24.13762824484563
Site_429,-0.43620550527903473,-33.789610859728484
Site_430,-0.49433597376075245,-23.11342966767745
Site_431,-0.4426370892788803,-29.970388715761857
Site_432,-0.36984543717152407,-48.2633855709508
Site_433,-0.4878998432601881,-36.043633855799385
Site_434,-0.36116172245940237,-50.51906794876909
Site_435,-0.4581316856209885,-25.31355590586648
Site_436,-0.3065761270364234,-41.939556560132544
Site_437,-0.3202841000807103,-39.378634382566574
Site_438,-0.42466182785660933,9.116954817027619
Site_439,-0.4622879613511946,-39.485800348141964
Site_440,-0.38941176470588235,-39.07705882352941
Site_441,-0.48200000000000004,-23.627999999999986
Site_442,-0.4434165316942841,-41.58202915403466
Site_443,-0.4783969465648855,-20.16625954198473
Site_444,-0.3861206075102581,-55.42794877778425
Site_445,-0.4270034013605444,-53.857265306122414
Site_446,-0.4313210380191513,-34.17465578786333
Site_447,-0.46928712591756083,-16.95398080180685
Site_448,-0.4493192603319594,-49.88703976829677
Site_449,-0.3959999999999989,-21.864000000000246
Site_450,-0.47808638255129854,-47.9933413689195
Site_451,-0.4566909814323607,-9.274748010610097
Site_452,-0.36633096676040755,-42.32251117975197
Site_453,-0.3841492980170792,-74.06375162831088
Site_454,-0.3282748357963875,-51.4226354679803
Site_455,-0.44666666666666666,-47.989999999999995
Site_456,-0.41987459705951724,-45.03708703514427
Site_457,-0.4253465346534654,-27.33514851485147
Site_458,-0.4221669584320187,-47.58193697868397
Site_459,-0.43879735960676847,-40.49977032493801
Site_460,-0.38851946334089205,-31.469795918367325
Site_461,-0.3988461943223973,-30.439222026362188
Site_462,-0.5338249189036205,-25.543817516817967
Site_463,-0.3619565217391304,-28.30739130434783
Site_464,-0.3969471780250775,-36.28940954658326
Site_465,-0.3589285714285714,-57.621428571428595
Site_466,-0.413705035971223,-41.859712230215834
Site_467,-0.38790697674418595,-30.532093023255825
Site_468,-0.3687218045112782,-50.46609022556393
Site_469,-0.42229568913175475,-32.08413114754097
Site_470,-0.4399207843137255,-54.1271105882353
Site_471,-0.40911111111111115,-41.721999999999994
Site_472,-0.29444444444444484,-47.54999999999992
Site_473,-0.34885904830569575,-50.25644556596971
Site_474,-0.5129151678657075,-40.890323741007194
Site_475,-0.3449153210772364,-34.22829064731694
Site_476,-0.37013315608729364,-59.16123828514459
Site_477,-0.38327193486914063,-37.49326206826562
Site_478,-0.4380157128882367,-44.738606016140864
Site_479,-0.4319903206291591,-68.48009074410163
Site_480,-0.5025213737668981,-10.865383266350008
Site_481,-0.37902117884356795,-24.881425369789326
Site_482,-0.48786265841438253,-6.171665782493363
Site_483,-0.3885185185185189,-44.22999999999993
Site_484,-0.4618502956738251,-21.28033613445379
Site_485,-0.44135880240193043,-35.086498681183016
Site_486,-0.46060461760461746,-25.42940259740263
Site_487,-0.4112068965517241,-25.699310344827595
Site_488,-0.47547743094543016,-50.526874915787076
Site_489,-0.4085483870967742,-39.873548387096776
Site_490,-0.4377198314936276,-4.512516397376444
Site_491,-0.38366600265604245,-44.12814342629483
Site_492,-0.4662684391453811,-62.346017144597695
Site_493,-0.4612183087291398,-41.1268453145058
Site_494,-0.3337341365461847,-52.82342650602409
Site_495,-0.39945652173913043,-8.007391304347834
Site_496,-0.3511484831354814,-30.94192764273602
Site_497,-0.3464019699645596,-24.16717448765513
Site_498,-0.36105512152777774,-33.80209375000001
Site_499,-0.4133333333333334,-27.23999999999998
Site_500,-0.5210199128194968,-10.919698830988693
Site_501,-0.4058333333333337,-32.14999999999992
Site_502,-0.44409278597050617,-11.84595823037067
Site_503,-0.4672307692307692,-15.48815384615385
Site_504,-0.38,-38.010000000000005
Site_505,-0.43,-31.22
Site_506,-0.30984962099969243,-45.62248186406643
Site_507,-0.38054134966786957,-19.12306847174017
Site_508,-0.39170625969265466,-62.7514479063866
Site_509,-0.4876066446526046,-37.38696475503741
Site_510,-0.47211382113821143,-33.22341463414632
Site_511,-0.5013538789134437,-3.2375621546961497
Site_512,-0.4500295860577891,-32.83360941151754
Site_513,-0.3221966156896064,-49.25553101104501
Site_514,-0.44020408163265307,-37.36591836734692
Site_515,-0.33475467155795025,-34.282990943482744
Site_516,-0.42477103538663175,-21.709456356487536
Site_517,-0.47601637183954254,-33.01046368265882
Site_518,-0.40484638980651266,-44.43317980179326
Site_519,-0.5349040303566166,-37.410729442970805
Site_520,-0.300276339338981,-63.91031070278011
Site_521,-0.4112839130648088,-13.362674778001292
Site_522,-0.372459978472946,-30.64864464984366
Site_523,-0.4290067359158124,-12.244545042184512
Site_524,-0.3704401257861635,-40.25493283018868
Site_525,-0.46151980294923656,-10.2217225629649
Site_526,-0.502244765012442,-50.765130757312534
Site_527,-0.39875,-73.69
Site_528,-0.4288905522288756,-33.319640718562866
Site_529,-0.5181148850364008,-19.46718483213742
Site_530,-0.4380142561043424,-40.788920681462045
Site_531,-0.4780603448275862,-10.828965517241386
Site_532,-0.49269166879631976,-16.39859953999492
Site_533,-0.29944918009102073,-24.458977100339524
Site_534,-0.3985714285714286,-43.158571428571435
Site_535,-0.39267384296569185,-31.662449919410562
Site_536,-0.4780097087378641,-22.439902912621363
Site_537,-0.4850000000000016,-63.84999999999967
Site_538,-0.43862412266358075,-61.997189504666565
Site_539,-0.4606643601797681,-48.176498201170105
Site_540,-0.36305340938553265,-40.670463572724955
Site_541,-0.5118433827286664,5.068170669391932
Site_542,-0.40152988536709466,-41.31954476070756
Site_543,-0.4232762228872069,-11.592335856363306
Site_544,-0.345,-51.92
Site_545,-0.4156097560975609,-31.528292682926846
Site_546,-0.42982434100326194,-14.667942343295422
Site_547,-0.3127906976744187,-21.27720930232556
Site_548,-0.43688560540696,-3.4927092320966437
Site_549,-0.4654120679199515,-46.27099332929049
Site_550,-0.47770567002556774,-11.445575274477363
Site_551,-0.3274637376497793,-36.13783266764767
Site_552,-0.36094150236271794,-30.376635489652926
Site_553,-0.3452925531914893,-37.9068085106383
Site_554,-0.44087620321633175,-27.620740105272333
Site_555,-0.37594716905901115,-35.68541148325359
Site_556,-0.4279224632933831,-24.058747928629245
Site_557,-0.407613464707498,-30.60549162318044
Site_558,-0.3839278484673222,-29.981584731058405
Site_559,-0.4123928352725046,-45.173147581139006
Site_560,-0.48022663071391886,-36.471047765793514
Site_561,-0.42924999999999996,-20.692000000000007
Site_562,-0.39809302325581397,-37.841906976744184
Site_563,-0.42476190476190445,-48.43142857142864
Site_564,-0.4161538461538462,-11.060769230769225
Site_565,-0.34559523809523807,-41.40142857142858
Site_566,-0.37445646258503407,-35.937404081632636
Site_567,-0.4168175416133162,-45.377411011523705
Site_568,-0.4148662192393736,-25.148896644295306
Site_569,-0.4251207025722134,-19.213928244401913
Site_570,-0.5145781176654671,-18.781126584259113
Site_571,-0.45574979549628813,-47.84804417280175
Site_572,-0.4703247925359839,-25.049844812227477
Site_573,-0.4094019867549669,-48.40917086092715
Site_574,-0.5151458082347105,-17.528505421302555
Site_575,-0.44674418604651184,-50.81325581395345
Site_576,-0.3904833880978459,0.4244118291347121
Site_577,-0.3748360497118775,-47.87541326223446
Site_578,-0.5014974713137241,-22.056546196235587
Site_579,-0.33305688168880243,-41.42971355521868
Site_580,-0.43515723892405056,-56.19603639240508
Site_581,-0.36925925925925923,-11.860000000000014
Site_582,-0.4879304853942455,-12.697015154842973
Site_583,-0.42732059835296565,-58.26875075575941
Site_584,-0.43822001848894854,-6.734476006387112
Site_585,-0.4725000000000001,-49.15999999999998
Site_586,-0.3738888888888889,-51.10000000000001
