site,slope,intercept,trend,h,p,z,Tau,s
Site_54,-0.3993960780598712,-29.76044713906782,decreasing,True,0.0,-30.188535858055584,-0.9710995637670002,-90825.0
Site_55,-0.4295190361445783,-30.31388819277109,decreasing,True,0.0,-30.382645345361514,-0.9773436831750919,-91409.0
Site_56,-0.43788087354146954,-44.80773131504256,decreasing,True,0.0,-30.1955176111958,-0.9713240954580447,-90846.0
Site_57,-0.3618547541278356,-41.42937310838752,decreasing,True,0.0,-29.568645987210125,-0.9511590112052006,-88960.0
Site_58,-0.5133988887169967,-60.355840037128715,decreasing,True,0.0,-30.47771418114765,-0.9804015909674109,-91695.0
Site_59,-0.35256250434057923,-23.80649906243488,decreasing,True,0.0,-30.09546805615019,-0.9681058078864083,-90545.0
Site_60,-0.4732183566260284,-31.04483496877785,decreasing,True,0.0,-30.444141610019887,-0.9793217004533402,-91594.0
Site_61,-0.4489310576599933,-7.4408915454414455,decreasing,True,0.0,-30.316509109718382,-0.9752159781028141,-91210.0
Site_62,-0.4334503858154438,-23.844716663864133,decreasing,True,0.0,-30.34642376528828,-0.9761782567787187,-91300.0
Site_63,-0.4332116513218113,-46.44628331448878,decreasing,True,0.0,-30.376011069701487,-0.9771298434693354,-91389.0
Site_64,-0.3961851282332912,-30.284012301609096,decreasing,True,0.0,-29.91132676238023,-0.9621824480369515,-89991.0
Site_65,-0.42384025879351195,-44.87050410060141,decreasing,True,0.0,-30.327806851211825,-0.9755795056026003,-91244.0
Site_66,-0.39107565372783204,-15.867658794788284,decreasing,True,0.0,-30.17126183764765,-0.9705435805320332,-90773.0
Site_67,-0.3122366319152514,-58.87688750630569,decreasing,True,0.0,-29.582281946869703,-0.9515973826020016,-89001.0
Site_68,-0.4278389929914078,-30.0467775138559,decreasing,True,0.0,-30.392623610004783,-0.9776644427337268,-91439.0
Site_69,-0.3867197883597883,-64.34852571428571,decreasing,True,0.0,-30.212801632504426,-0.9718800786930117,-90898.0
Site_70,-0.41610328410415853,-23.341690633501756,decreasing,True,0.0,-30.3879802911726,-0.9775147549396972,-91425.0
Site_71,-0.38166666666666654,-49.710000000000036,decreasing,True,0.0,-30.193860689788142,-0.9712706355316055,-90841.0
Site_72,-0.3601217283950616,-53.13370666666668,decreasing,True,0.0,-29.71889061845976,-0.955991788555299,-89412.0
Site_73,-0.3333186868008519,-14.173163651015983,decreasing,True,0.0,-29.99376818518539,-0.9648340603883329,-90239.0
Site_74,-0.48071570859419466,-49.74540694365396,decreasing,True,0.0,-30.434838191750416,-0.979022324865281,-91566.0
Site_75,-0.33873655292076343,-32.6929045691151,decreasing,True,0.0,-30.008069033434882,-0.9652938157557095,-90282.0
Site_76,-0.36593531593210665,-51.867971758664964,decreasing,True,0.0,-29.989114793547806,-0.9646843725943033,-90225.0
Site_77,-0.37403042924910335,-36.88942728219368,decreasing,True,0.0,-29.94889454001949,-0.9633906423744761,-90104.0
Site_78,-0.36955878577846235,-22.58530227185213,decreasing,True,0.0,-30.315513629159152,-0.9751839021469506,-91207.0
Site_79,-0.41505454833974686,-64.02821755861468,decreasing,True,0.0,-30.146324627471245,-0.969741681635446,-90698.0
Site_80,-0.3702467131959098,-44.37670994968347,decreasing,True,0.0,-30.28925018829258,-0.9743392353092122,-91128.0
Site_81,-0.39866761095372993,-9.067796033994341,decreasing,True,0.0,-29.76907255723036,-0.957606278333761,-89563.0
Site_82,-0.46474339608025406,-36.87542644666512,decreasing,True,0.0,-30.42254498607736,-0.9786267214096314,-91529.0
Site_83,-0.5786363636363636,-16.214545454545444,decreasing,True,0.0,-30.679136128099735,-0.9868809340518347,-92301.0
Site_84,-0.5618863014313278,8.4974411091668,decreasing,True,0.0,-30.4524562822216,-0.9795890000855358,-91619.0
Site_85,-0.45510246073738136,-19.927868480725635,decreasing,True,0.0,-30.209147065977984,-0.9717624668548456,-90887.0
Site_86,-0.3904217939214233,-2.408892512972571,decreasing,True,0.0,-30.065222681330766,-0.9671328372252159,-90454.0
Site_87,-0.4592182970228279,-24.028847843069173,decreasing,True,0.0,-30.509292445613266,-0.9814173295697545,-91790.0
Site_88,-0.4352794269045985,-7.849643788606727,decreasing,True,0.0,-30.31450810106443,-0.9751518261910872,-91204.0
Site_89,-0.40376345192023344,-46.677094385229566,decreasing,True,0.0,-30.348748784259246,-0.9762531006757335,-91307.0
Site_90,-0.4709472415914684,-3.2453958162428194,decreasing,True,0.0,-30.15829715214353,-0.9701265931058078,-90734.0
Site_91,-0.3860445768920345,-25.574371391320554,decreasing,True,0.0,-29.923305846310644,-0.9625673595073133,-90027.0
Site_92,-0.4012167956319297,-30.397172143503184,decreasing,True,0.0,-30.280277465292723,-0.9740505517064408,-91101.0
Site_93,-0.3493167541962723,-78.73758109360519,decreasing,True,0.0,-30.06656218667686,-0.9671756051663672,-90458.0
Site_94,-0.4796078431372549,-40.12470588235294,decreasing,True,0.0,-30.538211632925755,-0.9823475322897955,-91877.0
Site_95,-0.45720000000000016,-28.38479999999997,decreasing,True,0.0,-30.401603044325746,-0.9779531263364981,-91466.0
Site_96,-0.385,-43.05,decreasing,True,0.0,-30.23873434600705,-0.9727140535454624,-90976.0
Site_97,-0.45328519290928043,-26.980398331595424,decreasing,True,0.0,-30.465414251630506,-0.9800059875117612,-91658.0
Site_98,-0.30030189109136474,-23.77479152426521,decreasing,True,0.0,-29.802975835415722,-0.9586968608331194,-89665.0
Site_99,-0.43932088089473087,-37.97668972673813,decreasing,True,0.0,-30.149648477722906,-0.9698486014883243,-90708.0
Site_100,-0.41965919446777333,-37.71361399496098,decreasing,True,0.0,-30.324817061125316,-0.9754832777350099,-91235.0
Site_101,-0.33844039047541996,-20.85687565730929,decreasing,True,0.0,-29.856488184065757,-0.9604182704644598,-89826.0
Site_102,-0.3451128719934773,-49.6756196494089,decreasing,True,0.0,-30.15629950988849,-0.9700624411940809,-90728.0
Site_103,-0.3603172384488079,-61.96147649505748,decreasing,True,0.0,-30.10245312986268,-0.9683303395774527,-90566.0
Site_104,-0.4704771390627965,-10.806937962435967,decreasing,True,0.0,-30.552165055500232,-0.9827965956718844,-91919.0
Site_105,-0.4584681052019761,-48.53088927637316,decreasing,True,0.0,-30.377330541920813,-0.9771726114104867,-91393.0
Site_106,-0.3581180811808118,-47.316494464944654,decreasing,True,0.0,-29.985781003904545,-0.964577452741425,-90215.0
Site_107,-0.5306015051195774,-36.27007489417129,decreasing,True,0.0,-30.267650177603347,-0.9736442562655033,-91063.0
Site_108,-0.412777777777778,-17.54999999999994,decreasing,True,0.0,-30.124724593096424,-0.9690467025917372,-90633.0
Site_109,-0.3663829787234043,2.9587234042553234,decreasing,True,0.0,-29.559009540746445,-0.9508489436318536,-88931.0
Site_110,-0.444438186248141,-34.38135177040154,decreasing,True,0.0,-30.468738101882167,-0.9801129073646395,-91668.0
Site_111,-0.35046783803501946,-29.928946984435797,decreasing,True,0.0,-30.018027324143194,-0.9656145753143444,-90312.0
Site_112,-0.4151746218897382,-4.95228167181655,decreasing,True,0.0,-30.081180485901864,-0.9676460525190317,-90502.0
Site_113,-0.3517113130829945,-9.610356374073177,decreasing,True,0.0,-30.16860386771967,-0.9704580446497305,-90765.0
Site_114,-0.38275862068965516,-25.074137931034485,decreasing,True,0.0,-30.28559562598915,-0.9742216234710461,-91117.0
Site_115,-0.40868325657597687,-15.58441657958899,decreasing,True,0.0,-30.33080334285059,-0.9756757334701908,-91253.0
Site_116,-0.4527861366868777,-43.1481944756344,decreasing,True,0.0,-30.445137083309028,-0.9793537764092036,-91597.0
Site_117,-0.36532316082617783,-48.24019726154559,decreasing,True,0.0,-30.202499365107446,-0.9715486271490891,-90867.0
Site_118,-0.40568893828451885,-19.261189330543928,decreasing,True,0.0,-30.252357121636468,-0.9731524249422633,-91017.0
Site_119,-0.3810751847023034,-47.69776010430246,decreasing,True,0.0,-30.011045580036004,-0.9653900436232999,-90291.0
Site_120,-0.44296627510420605,-33.239284577491475,decreasing,True,0.0,-30.295239812770678,-0.9745316910443931,-91146.0
Site_121,-0.5383755341880342,-40.52088461538462,decreasing,True,0.0,-30.528236707763725,-0.9820267727311607,-91847.0
Site_122,-0.36768999768999755,-46.83896049896053,decreasing,True,0.0,-30.103117899986454,-0.9683517235480283,-90568.0
Site_123,-0.4350000000000014,-6.529999999999703,decreasing,True,0.0,-30.398603182356332,-0.9778568984689077,-91457.0
Site_124,-0.41023589030206675,-47.70904769475358,decreasing,True,0.0,-30.337116983555422,-0.9758788811906595,-91272.0
Site_125,-0.4675626120071685,-20.4164758064516,decreasing,True,0.0,-30.47040171019006,-0.9801663672910786,-91673.0
Site_126,-0.42036215489540296,-40.83177454259295,decreasing,True,0.0,-30.381664413825288,-0.9773116072192285,-91406.0
Site_127,-0.4622727272727273,-29.729090909090914,decreasing,True,0.0,-30.351741926278482,-0.9763493285433239,-91316.0
Site_128,-0.3947334948214161,-59.61756511857412,decreasing,True,0.0,-30.084507660252203,-0.96775297237191,-90512.0
Site_129,-0.3870256758918573,-49.452454007358824,decreasing,True,0.0,-30.172912095987257,-0.9705970404584723,-90778.0
Site_130,-0.40550341727443695,-53.641261868721614,decreasing,True,0.0,-29.904020899811314,-0.9619472243606193,-89969.0
Site_131,-0.3751571372142399,-26.046058361724178,decreasing,True,0.0,-29.876765323230924,-0.9610704815670174,-89887.0
Site_132,-0.4111615254068084,-44.9291105121294,decreasing,True,0.0,-30.15198016967681,-0.9699234453853391,-90715.0
Site_133,-0.37815233479755544,-50.69909568372802,decreasing,True,0.0,-30.045286218616273,-0.9664913181079463,-90394.0
Site_134,-0.4232731349368121,-36.00300285364858,decreasing,True,0.0,-30.359385105652102,-0.9765952442049439,-91339.0
Site_135,-0.4436450900050642,-37.45266055890613,decreasing,True,0.0,-30.387302092124962,-0.9774933709691216,-91423.0
Site_136,-0.4621984691088027,-66.74513067249863,decreasing,True,0.0,-29.933608132544283,-0.962898811051236,-90058.0
Site_137,-0.40307995206300296,-34.32473035439136,decreasing,True,0.0,-30.04893747499806,-0.9666089299461124,-90405.0
Site_138,-0.43720930232558136,-23.442790697674425,decreasing,True,0.0,-30.327472790900067,-0.9755688136173125,-91243.0
Site_139,-0.5123584905660377,-10.470566037735864,decreasing,True,0.0,-30.568119535826874,-0.9833098109657001,-91967.0
Site_140,-0.45967391304347827,-37.66043478260869,decreasing,True,0.0,-30.28559562598915,-0.9742216234710461,-91117.0
Site_141,-0.4139489928525015,19.752982456140316,decreasing,True,0.0,-30.032655584869108,-0.9660850226670088,-90356.0
Site_142,-0.42016162209814867,-56.325089626799894,decreasing,True,0.0,-30.41390745320234,-0.9783487297921478,-91503.0
Site_143,-0.4084076143182288,-26.673955307262574,decreasing,True,0.0,-30.174582355133722,-0.9706505003849115,-90783.0
Site_144,-0.3611360488541929,-22.304613447494333,decreasing,True,0.0,-30.224430099601932,-0.9722542981780857,-90933.0
