site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1041,decreasing,True,0.0,-16.200639091070727,-0.9078544061302682,-9478.0,342198.0,-0.3477579729139363,-150.9314259501966
Site_1042,decreasing,True,0.0,-16.190334963498277,-0.90727969348659,-9472.0,342200.0,-0.37687500000000007,-140.495
Site_1043,decreasing,True,0.0,-12.511677800855747,-0.7011494252873564,-7320.0,342194.0,-0.18674917491749216,-100.44405940594056
Site_1044,decreasing,True,0.0,-16.593768502869576,-0.9298850574712644,-9708.0,342200.0,-0.39503012048192787,-160.15783132530117
Site_1045,decreasing,True,0.0,-16.677556614373753,-0.9345785440613027,-9757.0,342199.0,-0.45418153434433545,-118.69892952720785
Site_1046,decreasing,True,0.0,-16.605759015172882,-0.9305555555555556,-9715.0,342199.0,-0.3624454200284767,-122.79392975794967
Site_1047,decreasing,True,0.0,-16.951170350289647,-0.949904214559387,-9917.0,342195.0,-0.57433848601955,-114.8176290065924
Site_1048,decreasing,True,0.0,-15.68953074124753,-0.8792145593869731,-9179.0,342197.0,-0.3989999999999997,-114.79200000000003
Site_1049,decreasing,True,0.0,-16.71526257413596,-0.9366858237547893,-9779.0,342195.0,-0.37934318377911996,-148.61729076790337
Site_105,decreasing,True,0.0,-16.802372230255795,-0.9415708812260536,-9830.0,342198.0,-0.4227097902097905,-152.63489510489507
Site_1050,decreasing,True,0.0,-15.216029328948915,-0.8526819923371648,-8902.0,342196.0,-0.2942302631578949,-168.54542105263155
Site_1051,decreasing,True,0.0,-13.026211987616692,-0.7299808429118774,-7621.0,342195.0,-0.20264912280701713,-153.03926315789477
Site_1052,decreasing,True,0.0,-16.87075099607228,-0.9454022988505747,-9870.0,342198.0,-0.3841961722488042,-112.6578755980861
Site_1053,decreasing,True,0.0,-16.945918117744526,-0.9496168582375479,-9914.0,342200.0,-0.46562430632630436,-153.6250499445061
Site_1054,decreasing,True,0.0,-13.99888374056428,-0.7844827586206896,-8190.0,342196.0,-0.17726731601731585,-154.06675324675328
Site_1055,decreasing,True,0.0,-16.732259547098227,-0.9376436781609195,-9789.0,342199.0,-0.3725464344941958,-84.3366567164179
Site_1056,decreasing,True,0.0,-17.016031010606433,-0.953544061302682,-9955.0,342199.0,-0.4627017543859647,-131.98547368421055
Site_1057,decreasing,True,0.0,-16.892949411976367,-0.946647509578544,-9883.0,342199.0,-0.4946737588652482,-90.96348936170213
Site_1058,decreasing,True,0.0,-16.71174594732655,-0.9364942528735632,-9777.0,342199.0,-0.4794729166666665,-145.56795
Site_1059,decreasing,True,0.0,-17.168248797959098,-0.9620689655172414,-10044.0,342196.0,-0.5003846153846154,-130.39230769230767
Site_106,decreasing,True,0.0,-14.530508967161037,-0.814272030651341,-8501.0,342197.0,-0.20037505860290672,-133.85299578059073
Site_1060,decreasing,True,0.0,-16.988679544244196,-0.9520114942528736,-9939.0,342199.0,-0.5384905063291139,-111.7286835443038
Site_1061,decreasing,True,0.0,-16.424651545540836,-0.9204022988505747,-9609.0,342195.0,-0.3581249999999998,-113.855
Site_1062,decreasing,True,0.0,-15.424540099053623,-0.864367816091954,-9024.0,342198.0,-0.31248655913978496,-147.6509677419355
Site_1063,decreasing,True,0.0,-16.168182801342248,-0.9060344827586206,-9459.0,342197.0,-0.380730298242149,-136.51741852656528
Site_1064,decreasing,True,0.0,-16.499772083019216,-0.9246168582375479,-9653.0,342199.0,-0.3839285714285714,-114.44714285714286
Site_1065,decreasing,True,0.0,-16.773335763033423,-0.9399425287356322,-9813.0,342197.0,-0.4799999999999998,-143.77000000000004
Site_1066,decreasing,True,0.0,-16.385309641385838,-0.918199233716475,-9586.0,342196.0,-0.34958973280033667,-154.76953923837576
Site_1067,decreasing,True,0.0,-16.263960741494124,-0.9113984674329502,-9515.0,342195.0,-0.345991452991453,-150.00861538461538
Site_1068,decreasing,True,0.0,-16.896417721343493,-0.9468390804597702,-9885.0,342197.0,-0.5073205128205127,-93.50292307692308
Site_1069,decreasing,True,0.0,-16.867332057781457,-0.9452107279693487,-9868.0,342198.0,-0.45583333333333326,-117.70000000000002
Site_107,decreasing,True,0.0,-16.330558746122048,-0.9151340996168582,-9554.0,342198.0,-0.5195803990610328,-167.90021126760564
Site_1070,decreasing,True,0.0,-16.833142674873216,-0.9432950191570881,-9848.0,342198.0,-0.4019696805042384,-125.15818300369483
Site_1071,decreasing,True,0.0,-16.733944563159607,-0.9377394636015326,-9790.0,342200.0,-0.43333333333333346,-129.04
Site_1072,decreasing,True,0.0,-16.934026097493792,-0.9489463601532567,-9907.0,342197.0,-0.48355654761904737,-113.28392857142859
Site_1073,decreasing,True,0.0,-17.323785632142346,-0.9707854406130269,-10135.0,342197.0,-0.6079679679679677,-132.62630630630633
