site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1171,decreasing,True,0.0,-16.1510408869007,-0.9050766283524905,-9449.0,342199.0,-0.35725881261595543,-127.6873654916512
Site_1172,decreasing,True,0.0,-13.528850833526677,-0.7581417624521073,-7915.0,342192.3333333333,-0.3049079959852793,-170.4466242890599
Site_1173,decreasing,True,0.0,-16.54768550613163,-0.9272988505747126,-9681.0,342197.0,-0.4049999999999999,-94.93
Site_1174,decreasing,True,0.0,-15.96131341071303,-0.8944444444444445,-9338.0,342198.0,-0.29266312056737587,-119.84825531914893
Site_1175,decreasing,True,0.0,-16.08954710575526,-0.9016283524904215,-9413.0,342197.0,-0.40142857142857147,-147.95714285714286
Site_1176,decreasing,True,0.0,-11.285964769323543,-0.6324712643678161,-6603.0,342195.0,-0.18272926093514313,-132.3734932126697
Site_1177,decreasing,True,0.0,-15.88951570660572,-0.8904214559386974,-9296.0,342198.0,-0.2912500000000001,-144.88
Site_1178,decreasing,True,0.0,-16.36137700341198,-0.9168582375478928,-9572.0,342196.0,-0.31661016949152554,-150.61406779661016
Site_1179,decreasing,True,0.0,-16.578407548810645,-0.9290229885057472,-9699.0,342199.0,-0.47544746376811586,-104.42778260869565
Site_118,decreasing,True,0.0,-16.494667784081614,-0.9243295019157088,-9650.0,342198.0,-0.3999999999999969,-126.72000000000023
Site_1180,decreasing,True,0.0,-17.04685122594469,-0.9552681992337164,-9973.0,342197.0,-0.4252419974391804,-119.62257618437903
Site_1181,decreasing,True,0.0,-14.234791172020852,-0.7977011494252874,-8328.0,342196.0,-0.2034292763157892,-127.18309210526319
Site_1182,decreasing,True,0.0,-16.804057146299098,-0.9416666666666667,-9831.0,342199.0,-0.37109401709401657,-141.5012307692308
Site_1183,decreasing,True,0.0,-16.419499124205633,-0.9201149425287356,-9606.0,342196.0,-0.42275545713381824,-108.2416070863651
Site_1184,decreasing,True,0.0,-16.12884138696342,-0.9038314176245211,-9436.0,342198.0,-0.3450000000000004,-143.18999999999997
Site_1185,decreasing,True,0.0,-16.28447446115966,-0.9125478927203066,-9527.0,342195.0,-0.3551222420989867,-152.48119856887297
Site_1186,decreasing,True,0.0,-16.745935280279344,-0.9384099616858238,-9797.0,342199.0,-0.3803409090909091,-101.88545454545455
Site_1187,decreasing,True,0.0,-16.07591831122669,-0.9008620689655172,-9405.0,342195.0,-0.4217857142857144,-152.24142857142857
