site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1041,decreasing,True,0.0,-9.829574497556903,-0.7857686453576864,-2065.0,44091.0,-0.3066149439006924,-169.35186201957507
Site_1042,decreasing,True,0.0,-9.65325657092064,-0.771689497716895,-2028.0,44092.0,-0.35037364130434756,-157.3565489130435
Site_1043,decreasing,True,0.0,-9.105897631755525,-0.7279299847792998,-1913.0,44089.0,-0.24499999999999988,-105.69000000000001
Site_1044,decreasing,True,0.0,-10.329508387926426,-0.8257229832572298,-2170.0,44092.0,-0.4383974358974354,-178.4476923076923
Site_1045,decreasing,True,0.0,-10.929562817100575,-0.8736681887366818,-2296.0,44092.0,-0.40741666666666676,-144.493
Site_1046,decreasing,True,0.0,-10.801102209524736,-0.8633942161339422,-2269.0,44091.0,-0.30162714097496685,-141.72142292490122
Site_1047,decreasing,True,0.0,-11.677382106593763,-0.9334094368340944,-2453.0,44091.0,-0.647119815668203,-143.88368663594468
Site_1048,decreasing,True,1.9340085088970227e-13,-7.35329808756827,-0.5878995433789954,-1545.0,44089.0,-0.15442222222222252,-139.14079999999998
Site_1049,decreasing,True,0.0,-10.862890102747892,-0.8683409436834094,-2282.0,44092.0,-0.3650000000000004,-169.01
Site_105,decreasing,True,0.0,-11.172568687630084,-0.8930745814307458,-2347.0,44091.0,-0.4193303571428574,-173.41410714285712
Site_1050,decreasing,True,2.6645352591003757e-15,-7.9010750493347714,-0.6316590563165906,-1660.0,44088.0,-0.15737477638640446,-185.39450805008943
Site_1051,decreasing,True,1.4081069643623323e-10,-6.415013081268184,-0.512937595129376,-1348.0,44090.0,-0.1808412698412695,-162.1697142857143
Site_1052,decreasing,True,0.0,-10.691445980126707,-0.8546423135464232,-2246.0,44092.0,-0.3281965944272445,-131.8749226006192
Site_1053,decreasing,True,0.0,-11.481993878879951,-0.9178082191780822,-2412.0,44092.0,-0.4554358490566035,-175.88430943396227
Site_1054,decreasing,True,2.0457879834623327e-10,-6.357863744241296,-0.5083713850837138,-1336.0,44090.0,-0.14126984126984138,-163.5742857142857
Site_1055,decreasing,True,0.0,-10.72490395760569,-0.8573059360730594,-2253.0,44091.0,-0.42757688723205983,-102.58723205964586
Site_1056,decreasing,True,0.0,-11.1772043275534,-0.893455098934551,-2348.0,44092.0,-0.34531702898550765,-156.89858695652174
Site_1057,decreasing,True,0.0,-10.805742061874163,-0.8637747336377474,-2270.0,44092.0,-0.516806259314456,-113.26497466467958
Site_1058,decreasing,True,0.0,-11.491518552358906,-0.9185692541856926,-2414.0,44092.0,-0.5719210526315773,-168.27084210526323
Site_1059,decreasing,True,0.0,-11.472729408147776,-0.9170471841704718,-2410.0,44090.0,-0.47186970338983064,-154.5126906779661
Site_106,decreasing,True,1.199040866595169e-14,-7.715247993433029,-0.6168188736681888,-1621.0,44089.0,-0.1596005639097744,-143.72437969924812
Site_1060,decreasing,True,0.0,-11.605814634106363,-0.9277016742770168,-2438.0,44092.0,-0.6122536231884061,-136.33886956521738
Site_1061,decreasing,True,0.0,-9.86302308189043,-0.7884322678843226,-2072.0,44090.0,-0.27930926216640484,-131.62486656200943
Site_1062,decreasing,True,0.0,-8.348376304303837,-0.667427701674277,-1754.0,44092.0,-0.2566666666666685,-166.25999999999993
Site_1063,decreasing,True,0.0,-10.01542131396213,-0.8006088280060882,-2104.0,44090.0,-0.3323529411764709,-155.71529411764706
Site_1064,decreasing,True,0.0,-11.386747144090403,-0.9101978691019786,-2392.0,44092.0,-0.44756818181818164,-130.80754545454545
Site_1065,decreasing,True,0.0,-11.534510384245552,-0.9219939117199392,-2423.0,44091.0,-0.5707771260997068,-164.44202346041055
Site_1066,decreasing,True,0.0,-9.405828385675326,-0.7519025875190258,-1976.0,44090.0,-0.23333333333333323,-173.81
Site_1067,decreasing,True,0.0,-10.20104097566225,-0.8154490106544902,-2143.0,44091.0,-0.38525062656641595,-163.97097744360903
Site_1068,decreasing,True,0.0,-11.682276977246365,-0.9337899543378996,-2454.0,44090.0,-0.6149358974358975,-113.78230769230768
Site_1069,decreasing,True,0.0,-11.058271309751515,-0.8839421613394216,-2323.0,44091.0,-0.37603571428571436,-143.02271428571427
Site_107,decreasing,True,0.0,-11.344014754447937,-0.9067732115677322,-2383.0,44091.0,-0.5726619433198382,-194.43417004048584
Site_1070,decreasing,True,0.0,-10.934449150383067,-0.874048706240487,-2297.0,44091.0,-0.43115521064301565,-144.46841241685144
Site_1071,decreasing,True,0.0,-11.405796491048314,-0.9117199391171994,-2396.0,44092.0,-0.4554006410256407,-145.87557692307695
Site_1072,decreasing,True,0.0,-11.420213006366982,-0.912861491628615,-2399.0,44091.0,-0.5390282131661445,-138.4349843260188
Site_1073,decreasing,True,0.0,-11.848828173411615,-0.9471080669710806,-2489.0,44091.0,-0.6425245098039221,-162.8491176470588
Site_1074,decreasing,True,0.0,-11.062908245805941,-0.8843226788432268,-2324.0,44092.0,-0.47343555900621115,-112.38631987577641
Site_1075,decreasing,True,0.0,-10.001020564374755,-0.7994672754946728,-2101.0,44091.0,-0.3803041474654377,-112.40905069124423
Site_1076,decreasing,True,0.0,-11.720110715853819,-0.936834094368341,-2462.0,44092.0,-0.5234891304347827,-131.00439130434782
Site_1077,decreasing,True,2.220446049250313e-16,-8.195981528640562,-0.6552511415525114,-1722.0,44092.0,-0.22509259259259262,-153.66666666666669
Site_1078,decreasing,True,0.0,-11.539141919753678,-0.9223744292237442,-2424.0,44092.0,-0.6296851851851849,-130.62133333333333
Site_1079,decreasing,True,0.0,-10.891464123184756,-0.8706240487062404,-2288.0,44092.0,-0.5001538461538462,-183.22446153846153
Site_108,decreasing,True,0.0,-10.301167999096572,-0.8234398782343988,-2164.0,44090.0,-0.3138673020527858,-138.79077712609973
Site_1080,decreasing,True,0.0,-11.796575651300142,-0.9429223744292238,-2478.0,44090.0,-0.607999999999999,-131.29200000000003
Site_1081,decreasing,True,0.0,-10.834316082311028,-0.8660578386605784,-2276.0,44092.0,-0.391747737556561,-144.2170814479638
Site_1082,decreasing,True,5.10702591327572e-14,-7.529254385113729,-0.601978691019787,-1582.0,44092.0,-0.12088520408163253,-168.05813265306122
Site_1083,decreasing,True,0.0,-11.349163256518843,-0.9071537290715372,-2384.0,44088.0,-0.4248958333333318,-134.54375000000005
Site_1084,decreasing,True,0.0,-9.558009836131092,-0.7640791476407914,-2008.0,44092.0,-0.29186111111111046,-129.25300000000001
Site_1085,decreasing,True,0.0,-11.682012021938,-0.9337899543378996,-2454.0,44092.0,-0.7339085623678646,-156.90929175475688
Site_1086,decreasing,True,0.0,-11.51546082126579,-0.9204718417047184,-2419.0,44091.0,-0.5507962962962962,-191.21133333333333
Site_1087,decreasing,True,0.0,-11.1772043275534,-0.893455098934551,-2348.0,44092.0,-0.4600000000000056,-158.8699999999998
Site_1088,decreasing,True,0.0,-10.55810055142134,-0.8439878234398782,-2218.0,44092.0,-0.35714285714285715,-145.37285714285713
Site_1089,decreasing,True,0.0,-11.92012885891187,-0.9528158295281582,-2504.0,44092.0,-0.7778984343637093,-196.19565636290645
Site_109,decreasing,True,0.0,-11.225082281031261,-0.8972602739726028,-2358.0,44090.0,-0.38813029661016946,-108.4173093220339
Site_1090,decreasing,True,4.085620730620576e-14,-7.558171249725306,-0.604261796042618,-1588.0,44088.0,-0.3189140534262487,-140.30909407665504
Site_1091,decreasing,True,0.0,-10.524883546318195,-0.841324200913242,-2211.0,44091.0,-0.4150999999999999,-154.1464
Site_1092,decreasing,True,0.0,-11.143994343160442,-0.8907914764079148,-2341.0,44091.0,-0.3396754523996851,-192.72168371361133
Site_1093,decreasing,True,0.0,-11.815357450643367,-0.9444444444444444,-2482.0,44092.0,-0.6968742017879945,-157.0725287356322
Site_1094,decreasing,True,0.0,-11.553559947225313,-0.9235159817351598,-2427.0,44091.0,-0.5278405017921146,-199.88774193548386
Site_1095,decreasing,True,0.0,-10.234493772565202,-0.8181126331811264,-2150.0,44090.0,-0.2959661016949143,-158.73522033898308
Site_1096,decreasing,True,0.0,-11.853456144559186,-0.9474885844748858,-2490.0,44092.0,-0.6926324728260864,-108.96523097826089
Site_1097,decreasing,True,0.0,-11.672487348459045,-0.9330289193302892,-2452.0,44092.0,-0.5349999999999966,-157.84000000000012
Site_1098,decreasing,True,0.0,-12.129671675448874,-0.969558599695586,-2548.0,44092.0,-0.6805607966457022,-130.88981132075472
Site_1099,decreasing,True,0.0,-9.629554086269406,-0.7697869101978692,-2023.0,44091.0,-0.29427507447864965,-92.60609731876862
Site_11,decreasing,True,0.0,-10.681921306647752,-0.8538812785388128,-2244.0,44092.0,-0.39701539855072454,-162.51744565217393
Site_110,decreasing,True,0.0,-10.767887584816158,-0.860730593607306,-2262.0,44090.0,-0.33752723311546895,-164.6090196078431
Site_1100,decreasing,True,0.0,-11.105895217200919,-0.8877473363774734,-2333.0,44091.0,-0.43428571428571444,-157.40571428571428
Site_1101,decreasing,True,0.0,-11.210667813589607,-0.8961187214611872,-2355.0,44091.0,-0.4132068543451652,-149.06455324357404
