date,norm_level
2013-01-31,-0.2501862930515369
2013-02-28,-0.06726741090989469
2013-03-31,-0.11352353123967857
2013-04-30,-0.07346962389038862
2013-05-31,0.02975952745658532
2013-06-30,-0.022973761073630083
2013-07-31,-0.9548007773038457
2013-08-31,-1.1615910279639627
2013-09-30,-1.100382548913716
2013-10-31,-0.5496220225776449
2013-11-30,-0.4548314862999332
2013-12-31,-0.35860577299054336
2014-01-31,-0.2386977740439395
2014-02-28,-0.19665792194913348
2014-03-31,-0.13249901223227514
2014-04-30,-0.18478288410733906
2014-05-31,-0.36218950458661214
2014-06-30,-0.19213843228184177
2014-07-31,-0.542013698263089
2014-08-31,-1.0140171501670943
2014-09-30,-0.6400840557823865
2014-10-31,-0.44205327913119336
2014-11-30,-0.38919061581607023
2014-12-31,-0.3056074123612807
2015-01-31,-0.1466990824831849
2015-02-28,-0.22356404940003033
2015-03-31,-0.1449616182546618
2015-04-30,-0.0940163049753739
2015-05-31,-0.03659536879582515
2015-06-30,0.0728593819168643
2015-07-31,-0.43423186477811065
2015-08-31,-0.838084696030797
2015-09-30,-0.802228856968855
2015-10-31,-0.42506257411841736
2015-11-30,-0.2179173891157196
2015-12-31,-0.13559735181968835
2016-01-31,-0.1268455648411232
2016-02-29,-0.0019232048047771776
2016-03-31,0.028825314417306503
2016-04-30,0.0014837954390574772
2016-05-31,0.21455855950457614
2016-06-30,0.08703665030381653
2016-07-31,-0.3694829532078582
2016-08-31,-0.9016751020027398
2016-09-30,-0.5990638201192025
2016-10-31,-0.3727906226529162
2016-11-30,-0.23495068595936253
2016-12-31,-0.18302295726210344
2017-01-31,-0.12203776540840196
2017-02-28,-0.019861833560164976
2017-03-31,0.0678260337865747
2017-04-30,-0.02842321218389364
2017-05-31,0.34963993069299176
2017-06-30,0.05007766857946676
2017-07-31,-0.6197889828220049
2017-08-31,-0.5247065163289527
2017-09-30,-0.426216265075587
2017-10-31,-0.03216943413402531
2017-11-30,0.07244412868108827
2017-12-31,0.14395235722966848
2018-01-31,0.15412492382129342
2018-02-28,0.24449748224901724
2018-03-31,0.38740412180278005
2018-04-30,0.1800718280260443
2018-05-31,0.31622348397159306
2018-06-30,0.27294751582671883
2018-07-31,0.05187542789255564
2018-08-31,-0.14737314544263624
2018-09-30,-0.0531320983445548
2018-10-31,0.18390882461547697
2018-11-30,0.1886205853797227
2018-12-31,0.29645713252760375
2019-01-31,0.39922992499817694
2019-02-28,0.363576058264917
2019-03-31,0.44886850775091436
2019-04-30,0.7553290910430964
2019-05-31,0.8291035755668036
2019-06-30,0.6842704070901802
2019-07-31,0.7932780606560597
2019-08-31,0.28719508874253374
2019-09-30,0.4698656646041401
2019-10-31,0.726052932662343
2019-11-30,0.6762254052545961
2019-12-31,0.731697912842123
2020-01-31,0.8647386560107296
2020-02-29,0.8972246369383827
2020-03-31,0.8564871388258422
2020-04-30,0.9852990875958757
2020-05-31,0.9413162885907473
2020-06-30,0.8023149280064065
2020-07-31,0.45208657018625376
2020-08-31,-0.019713341526135603
2020-09-30,-0.024485046967720837
2020-10-31,0.4504702079915163
2020-11-30,0.34687621483981085
2020-12-31,0.4041875733668326
2021-01-31,0.5186066287066956
2021-02-28,0.5583174626352259
2021-03-31,0.7097126253103794
2021-04-30,0.7429484758794302
2021-05-31,0.5251934457313779
2021-06-30,0.43751005382977803
2021-07-31,0.08690355012765336
2021-08-31,-0.412761897878103
2021-09-30,-0.07240035872740264
2021-10-31,0.18358954764630958
2021-11-30,0.2400849944463675
2021-12-31,0.2027555555282916
2022-01-31,0.30688729283089516
2022-02-28,0.35068345603010553
2022-03-31,0.4652169769856236
2022-04-30,0.2769072326996264
2022-05-31,0.26949050338107416
2022-06-30,0.14836036883024104
2022-07-31,-0.3828890686029833
2022-08-31,-0.8539750514387887
2022-09-30,-0.7640917680693584
2022-10-31,-0.34723494073410954
2022-11-30,-0.4804697492659477
2022-12-31,-0.329625452203824
