site,slope,intercept,trend,h,p,z,Tau,s
Site_54,-0.40374999999999994,-46.68000000000002,decreasing,True,0.0,-28.316732013525826,-0.9664908008658009,-71443.0
Site_55,-0.4287971216701547,-45.5409526393303,decreasing,True,0.0,-28.544238015686002,-0.9742559523809524,-72017.0
Site_56,-0.4278454907161804,-63.19366578249337,decreasing,True,0.0,-28.310788841364666,-0.9662878787878788,-71428.0
Site_57,-0.3720619658119658,-55.64410256410257,decreasing,True,0.0,-27.82565323348406,-0.9497294372294373,-70204.0
Site_58,-0.5006249999999999,-78.80000000000001,decreasing,True,0.0,-28.644922372232585,-0.9776920995670996,-72271.0
Site_59,-0.3464964508184847,-48.02268144285094,decreasing,True,0.0,-28.19306777696722,-0.9622700216450216,-71131.0
Site_60,-0.4642263124199744,-59.2185480153649,decreasing,True,0.0,-28.595769265247814,-0.9760146103896103,-72147.0
Site_61,-0.4527599606276077,-30.25008755949932,decreasing,True,0.0,-28.507383284156845,-0.9729978354978355,-71924.0
Site_62,-0.4344568322981367,-44.024288198757745,decreasing,True,0.0,-28.482813453488426,-0.9721590909090909,-71862.0
Site_63,-0.44294117647058817,-69.44529411764708,decreasing,True,0.0,-28.582700620005358,-0.9755681818181818,-72114.0
Site_64,-0.41202676269227345,-46.650861563083495,decreasing,True,0.0,-27.94811746224536,-0.9539096320346321,-70513.0
Site_65,-0.39726390658174104,-64.34532993630572,decreasing,True,0.0,-28.456649234404022,-0.9712662337662338,-71796.0
Site_66,-0.3891280560524747,-28.917413237924848,decreasing,True,0.0,-28.31357447994428,-0.9663825757575758,-71435.0
Site_67,-0.3057949235344095,-69.78737468139337,decreasing,True,0.0,-27.777700232872313,-0.9480925324675324,-70083.0
Site_68,-0.4276140077243018,-54.898110516934054,decreasing,True,0.0,-28.55058874106348,-0.9744724025974026,-72033.0
Site_69,-0.3808145854398382,-77.83359959555105,decreasing,True,0.0,-28.313959719474216,-0.9663961038961039,-71436.0
Site_70,-0.41224834597567706,-45.528317572670005,decreasing,True,0.0,-28.610450306916842,-0.9765151515151516,-72184.0
Site_71,-0.38121923965447974,-71.69590598633988,decreasing,True,0.0,-28.323082668419524,-0.9667072510822511,-71459.0
Site_72,-0.3722040772066797,-63.26681717631749,decreasing,True,0.0,-27.754312813837583,-0.9472943722943723,-70024.0
Site_73,-0.32655618253393587,-29.601212953484307,decreasing,True,0.0,-28.11182507278688,-0.9594967532467532,-70926.0
Site_74,-0.4716121388166945,-79.11046934719465,decreasing,True,0.0,-28.589037886846366,-0.9757846320346321,-72130.0
Site_75,-0.3387059124022744,-50.73846481876332,decreasing,True,0.0,-28.24777873332963,-0.9641369047619047,-71269.0
Site_76,-0.35622134084820656,-66.38550255714435,decreasing,True,0.0,-28.06307501090538,-0.9578327922077922,-70803.0
Site_77,-0.37892679171661614,-50.336055990409704,decreasing,True,0.0,-28.03215453331051,-0.9567775974025974,-70725.0
Site_78,-0.36456921019595,-41.2927116423776,decreasing,True,0.0,-28.469735815545324,-0.9717126623376623,-71829.0
Site_79,-0.3985416666666667,-82.91,decreasing,True,0.0,-28.246578559646252,-0.9640963203463203,-71266.0
Site_80,-0.373300641025641,-63.57627692307693,decreasing,True,0.0,-28.47051958975897,-0.9717397186147186,-71831.0
Site_81,-0.3948140464115567,-27.6557030889811,decreasing,True,0.0,-27.847845012296563,-0.950487012987013,-70260.0
Site_82,-0.46934683622192597,-54.79540744539021,decreasing,True,0.0,-28.626300207710774,-0.9770562770562771,-72224.0
Site_83,-0.593023823028928,-37.43942597844584,decreasing,True,0.0,-28.889469557791774,-0.986038961038961,-72888.0
Site_84,-0.5845289593057656,-11.40043981329299,decreasing,True,0.0,-28.640958774284304,-0.9775568181818182,-72261.0
Site_85,-0.457924849184957,-37.33842895648826,decreasing,True,0.0,-28.34883937867928,-0.96758658008658,-71524.0
Site_86,-0.40319231424676205,-15.587075664621693,decreasing,True,0.0,-28.270360145467887,-0.9649080086580086,-71326.0
Site_87,-0.46269054418993216,-51.873415515533026,decreasing,True,0.0,-28.680590248015577,-0.978909632034632,-72361.0
Site_88,-0.45359894179894156,-26.079003174603216,decreasing,True,0.0,-28.42770827262041,-0.9702786796536796,-71723.0
Site_89,-0.40867924528301885,-71.23358490566036,decreasing,True,0.0,-28.49985468732547,-0.9727408008658008,-71905.0
Site_90,-0.49869306418219456,-21.280931677018643,decreasing,True,0.0,-28.282653962995656,-0.9653273809523809,-71357.0
Site_91,-0.3673177333670631,-51.14499519352388,decreasing,True,0.0,-28.025821581375183,-0.9565611471861472,-70709.0
Site_92,-0.4124073870808408,-48.057781680478556,decreasing,True,0.0,-28.415826410821897,-0.9698728354978355,-71693.0
Site_93,-0.3310960079479769,-97.83956647398844,decreasing,True,0.0,-28.130057627645506,-0.9601190476190476,-70972.0
Site_94,-0.48829064734046046,-64.3381957106316,decreasing,True,0.0,-28.8335896345708,-0.9841314935064935,-72747.0
Site_95,-0.4672272627093741,-53.69236555980018,decreasing,True,0.0,-28.614409411063843,-0.9766504329004329,-72194.0
Site_96,-0.39969500354647036,-57.3085593190777,decreasing,True,0.0,-28.476471696273027,-0.9719426406926407,-71846.0
Site_97,-0.4566310068649885,-51.776846681922194,decreasing,True,0.0,-28.64333243315497,-0.977637987012987,-72267.0
Site_98,-0.31381737493275946,-35.45706401291018,decreasing,True,0.0,-27.896200911063985,-0.9521374458874459,-70382.0
Site_99,-0.4455504237288136,-54.72431864406781,decreasing,True,0.0,-28.46061283204096,-0.9714015151515152,-71806.0
Site_100,-0.4193843053173242,-59.79821337907376,decreasing,True,0.0,-28.436831246219327,-0.9705898268398269,-71746.0
Site_101,-0.35249365482233463,-33.211218274111744,decreasing,True,0.0,-28.03849188614547,-0.9569940476190476,-70741.0
Site_102,-0.34640487938596487,-67.26026315789476,decreasing,True,0.0,-28.307622410413018,-0.9661796536796536,-71420.0
Site_103,-0.3468,-77.40440000000001,decreasing,True,0.0,-28.172067349933858,-0.9615530303030303,-71078.0
Site_104,-0.4635091936572201,-35.60623481781374,decreasing,True,0.0,-28.75074366229289,-0.9813041125541125,-72538.0
Site_105,-0.4575617378048781,-67.13814634146343,decreasing,True,0.0,-28.5006429294335,-0.9727678571428572,-71907.0
Site_106,-0.3414166153565483,-68.63800985154272,decreasing,True,0.0,-28.074159857199326,-0.9582115800865801,-70831.0
Site_107,-0.5346198863544381,-61.33298181994786,decreasing,True,0.0,-28.42613623126468,-0.9702245670995671,-71719.0
Site_108,-0.41903281231356637,-41.90570003579525,decreasing,True,0.0,-28.453084231535744,-0.9711444805194805,-71787.0
Site_109,-0.3967703724188791,-4.880088495575222,decreasing,True,0.0,-27.73607154137515,-0.946672077922078,-69978.0
Site_110,-0.4303411030096184,-61.39450822215328,decreasing,True,0.0,-28.625498493737627,-0.9770292207792208,-72222.0
Site_111,-0.3440836736394699,-49.565934661221775,decreasing,True,0.0,-28.09992986160869,-0.9590909090909091,-70896.0
Site_112,-0.41683453237410073,-21.377769784172656,decreasing,True,0.0,-28.157005676547282,-0.961038961038961,-71040.0
