Site,DecLatVa,DecLongVa,AltVa
2516303.0,33.8725,-103.005556,3960.0
2401201.0,33.974444,-102.951112,4020.0
964301.0,34.0925,-103.021111,3924.0
1051909.0,34.146666,-102.658333,3841.0
2401601.0,33.944722,-102.909445,3935.0
1051425.0,34.199167,-102.739167,3811.0
1051105.0,34.237778,-102.711667,3784.0
1049602.0,34.2016417,-102.8823528,3880.0
1050801.0,34.131111,-102.796389,3925.0
1057901.0,34.003056,-102.895834,3930.0
2403501.0,33.956667,-102.700556,3772.0
1049306.0,34.22,-102.908334,3890.0
1059502.0,34.04,-102.6825,3900.0
1049308.0,34.244445,-102.912778,3904.0
1049801.0,34.155556,-102.954167,3954.0
1059107.0,34.118055,-102.712501,3881.0
1059302.0,34.100834,-102.660556,3873.0
1051119.0,34.217778,-102.726944,3783.0
1051311.0,34.235,-102.642222,3761.0
1051406.0,34.195834,-102.709723,3796.0
1051703.0,34.129167,-102.736111,3883.0
1051808.0,34.164723,-102.685,3835.0
2410303.0,33.846111,-102.762501,3783.0
2410201.0,33.870278,-102.828055,3846.0
2410102.0,33.855834,-102.839445,3857.0
1057103.0,34.091667,-102.963612,3940.0
1058201.0,34.096389,-102.810556,3883.0
1058601.0,34.064445,-102.779444,3890.0
1058701.0,34.035,-102.874722,3932.0
1058801.0,34.035556,-102.799722,3830.0
2401501.0,33.930555,-102.940278,3941.0
2403102.0,33.986667,-102.716944,3740.0
2402702.0,33.900834,-102.867778,3855.0
2402701.0,33.904167,-102.850556,3847.0
2402301.0,33.998056,-102.784445,3853.0
2411301.0,33.852778,-102.641111,3692.0
2410101.0,33.855278,-102.863889,3850.0
1137914.0,34.39,-101.4111111,3313.0
1129601.0,34.57,-101.4154056,3285.0
1131402.0,34.55,-101.2422722,3275.0
1131801.0,34.51,-101.1788889,3225.0
1137501.0,34.46,-101.4527778,3314.0
1137701.0,34.39,-101.4609667,3321.0
1138109.0,34.48,-101.34,3296.0
1145314.0,34.36,-101.3865472,3297.0
1138402.0,34.42,-101.3497222,3289.0
1138921.0,34.38,-101.2833333,3242.0
1139201.0,34.47,-101.1900778,3229.0
1146214.0,34.36,-101.3063889,3236.0
1129703.0,34.513889,-101.470278,3271.0
1121801.0,34.643334,-101.434722,3342.0
1145512.0,34.318333,-101.445834,3305.0
1139605.0,34.457778,-101.155001,3206.0
1138728.0,34.3775,-101.347222,3280.0
1130504.0,34.5519444,-101.2925,3267.0
1121214.0,34.7277778,-101.4233333,3325.0
1146101.0,34.349167,-101.333611,3270.0
1137601.0,34.45,-101.4155556,3317.0
1145607.0,34.3188889,-101.4033333,3286.0
2803601.0,32.9295556,-101.6366056,2951.0
2812402.0,32.831111,-101.585278,2942.0
2803901.0,32.901112,-101.651945,2963.0
2804702.0,32.8760083,-101.5964417,2946.0
628601.0,35.570555,-101.5325,3185.0
636819.0,35.407223,-101.545278,3530.0
