site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1041,decreasing,True,0.0,-10.877547170988295,-0.869482496194825,-2285.0,44089.0,-0.44585562987736893,-109.73919732441473
Site_1042,decreasing,True,0.0,-11.415321164527267,-0.9124809741248098,-2398.0,44092.0,-0.6559137291280146,-94.24710575139147
Site_1043,decreasing,True,0.0,-10.372487042480103,-0.8291476407914764,-2179.0,44091.0,-0.2960769230769229,-81.22123076923077
Site_1044,decreasing,True,0.0,-11.925296898491546,-0.9531963470319634,-2505.0,44089.0,-0.6516883116883117,-124.43922077922079
Site_1045,decreasing,True,0.0,-10.844086700852008,-0.8668188736681888,-2278.0,44090.0,-0.47736231884058,-76.76495652173912
Site_1046,decreasing,True,0.0,-10.896597166033809,-0.8710045662100456,-2289.0,44089.0,-0.38920997920997935,-92.68844074844074
Site_1047,decreasing,True,0.0,-10.020297393940181,-0.8009893455098934,-2105.0,44089.0,-0.3843843843843847,-108.55216216216215
Site_1048,decreasing,True,0.0,-11.267816502528891,-0.9006849315068494,-2367.0,44091.0,-0.4774999999999996,-78.17000000000002
Site_1049,decreasing,True,0.0,-11.015284878411167,-0.880517503805175,-2314.0,44092.0,-0.39682733050847474,-118.09421610169491
Site_105,decreasing,True,0.0,-11.429737787856864,-0.9136225266362252,-2401.0,44091.0,-0.4913284313725489,-125.51217647058823
Site_1050,decreasing,True,0.0,-9.9296973084218,-0.7937595129375952,-2086.0,44090.0,-0.32018518518518546,-138.74333333333334
Site_1051,decreasing,True,0.0,-11.52009257279577,-0.9208523592085236,-2420.0,44092.0,-0.49172222222222206,-118.96799999999999
Site_1052,decreasing,True,1.5543122344752192e-15,-7.972242107030162,-0.6373668188736682,-1675.0,44091.0,-0.1875255102040816,-85.10908163265306
Site_1053,decreasing,True,0.0,-11.267816502528891,-0.9006849315068494,-2367.0,44091.0,-0.4602223320158103,-121.69199604743082
Site_1054,decreasing,True,0.0,-9.41048411200215,-0.752283105022831,-1977.0,44091.0,-0.3080090497737555,-132.6916742081448
Site_1055,decreasing,True,0.0,-9.862799387457644,-0.7884322678843226,-2072.0,44092.0,-0.32820855614973266,-69.53449197860962
Site_1056,decreasing,True,0.0,-10.596199245337159,-0.8470319634703196,-2226.0,44092.0,-0.3598648648648648,-97.98486486486486
