site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1041,decreasing,True,0.0,-16.549419158920845,-0.9273946360153257,-9682.0,342196.0,-0.45314550264550263,-76.77352380952382
Site_1042,decreasing,True,0.0,-15.91855342282169,-0.8920498084291187,-9313.0,342199.0,-0.47386164274322184,-60.02196172248803
Site_1043,decreasing,True,0.0,-13.25017278787169,-0.7425287356321839,-7752.0,342194.0,-0.19618615504277942,-69.46459683691988
Site_1044,decreasing,True,0.0,-17.00755822870607,-0.9530651340996169,-9950.0,342196.0,-0.4916666666666681,-85.78999999999989
Site_1045,decreasing,True,0.0,-16.906674551202666,-0.9474137931034483,-9891.0,342197.0,-0.5341499999999999,-44.6112
Site_1046,decreasing,True,0.0,-16.537428676272455,-0.9267241379310345,-9675.0,342197.0,-0.3785599078341013,-65.23368663594471
Site_1047,decreasing,True,0.0,-16.63657803157779,-0.93227969348659,-9733.0,342197.0,-0.5055087252292222,-66.343371783496
Site_1048,decreasing,True,0.0,-16.691232347554873,-0.9353448275862069,-9765.0,342199.0,-0.49285714285714277,-45.024285714285725
Site_1049,decreasing,True,0.0,-17.002355277425313,-0.9527777777777777,-9947.0,342199.0,-0.5556052281052282,-79.15642357642358
Site_105,decreasing,True,0.0,-17.217748075027927,-0.9648467432950192,-10073.0,342199.0,-0.6178280098280099,-75.86638329238329
Site_1050,decreasing,True,0.0,-16.296416986054375,-0.9132183908045977,-9534.0,342196.0,-0.41,-109.67
Site_1051,decreasing,True,0.0,-17.130540245931392,-0.9599616858237547,-10022.0,342200.0,-0.5880900181854919,-74.42751869064458
Site_1052,decreasing,True,0.0,-14.993753874409766,-0.8402298850574713,-8772.0,342198.0,-0.3137846956964605,-64.25750190985484
Site_1053,decreasing,True,0.0,-16.978422744358358,-0.9514367816091954,-9933.0,342199.0,-0.4634021276595745,-89.99504680851064
Site_1054,decreasing,True,0.0,-16.345920084731635,-0.9159961685823754,-9563.0,342199.0,-0.46502475247524766,-96.11821782178217
Site_1055,decreasing,True,0.0,-15.687752503434028,-0.8791187739463602,-9178.0,342200.0,-0.38221405228758176,-33.720588235294116
Site_1056,decreasing,True,0.0,-16.53232441751095,-0.9264367816091954,-9672.0,342196.0,-0.34287001287001284,-77.77335907335907
Site_1057,decreasing,True,0.0,-15.462148420252689,-0.8664750957854406,-9046.0,342198.0,-0.30545001607200245,-56.11759884281582
Site_1058,decreasing,True,0.0,-16.945967638470414,-0.9496168582375479,-9914.0,342198.0,-0.43494089347079046,-86.79425567010308
Site_1059,decreasing,True,0.0,-16.95458930356724,-0.950095785440613,-9919.0,342195.0,-0.5423453017570665,-50.041138273491214
Site_106,decreasing,True,0.0,-16.819417770653526,-0.9425287356321839,-9840.0,342200.0,-0.41664414414414414,-75.59162162162163
Site_1060,decreasing,True,0.0,-13.156055320235795,-0.7372605363984674,-7697.0,342199.0,-0.22543996558928353,-86.24832247757159
Site_1061,decreasing,True,0.0,-16.241713813542706,-0.9101532567049808,-9502.0,342196.0,-0.3332142857142858,-50.54857142857143
Site_1062,decreasing,True,0.0,-16.439964771428425,-0.921264367816092,-9618.0,342198.0,-0.3335105633802817,-84.33723943661971
Site_1063,decreasing,True,0.0,-16.824570746070776,-0.9428160919540229,-9843.0,342199.0,-0.37352002503128895,-82.65655819774719
Site_1064,decreasing,True,0.0,-16.38868069706606,-0.9183908045977012,-9588.0,342198.0,-0.3628647416413374,-67.9437386018237
Site_1065,decreasing,True,0.0,-16.42802249110795,-0.9205938697318008,-9611.0,342197.0,-0.3761951712196998,-100.72394767218162
Site_1066,decreasing,True,0.0,-16.41945114168348,-0.9201149425287356,-9606.0,342198.0,-0.4303907203907207,-86.20186813186811
Site_1067,decreasing,True,0.0,-16.1375223488112,-0.9043103448275862,-9441.0,342192.3333333333,-0.31231326644370117,-115.20344481605352
Site_1068,decreasing,True,0.0,-15.660446841120496,-0.8775862068965518,-9162.0,342198.0,-0.30995689655172387,-59.343103448275876
Site_1069,decreasing,True,0.0,-16.53738034926729,-0.9267241379310345,-9675.0,342199.0,-0.3663750954927426,-49.59099312452253
Site_107,decreasing,True,0.0,-16.97163447364409,-0.9510536398467433,-9929.0,342197.0,-0.5270923913043477,-87.82934782608697
Site_1070,decreasing,True,0.0,-16.725568311342013,-0.9372605363984674,-9785.0,342193.0,-0.3865755112096575,-79.44656319290466
Site_1071,decreasing,True,0.0,-15.687844191862059,-0.8791187739463602,-9178.0,342196.0,-0.320828431372549,-87.43035294117647
Site_1072,decreasing,True,0.0,-16.492982413549374,-0.9242337164750958,-9649.0,342197.0,-0.4497610905291156,-43.657201481903684
Site_1073,decreasing,True,0.0,-16.50665818669494,-0.925,-9657.0,342197.0,-0.4106907336726039,-76.95026717557252
Site_1074,decreasing,True,0.0,-16.241666350560617,-0.9101532567049808,-9502.0,342198.0,-0.38637147335423194,-40.5712539184953
Site_1075,decreasing,True,0.0,-16.286160141208438,-0.9126436781609195,-9528.0,342196.0,-0.4901914971596116,-32.70621220450796
Site_1076,decreasing,True,0.0,-16.74766921760261,-0.9385057471264368,-9798.0,342198.0,-0.43149905719673165,-49.31206788183532
Site_1077,decreasing,True,0.0,-16.137365153719582,-0.9043103448275862,-9441.0,342199.0,-0.38874208860759496,-74.80056962025317
Site_1078,decreasing,True,0.0,-16.802372230255795,-0.9415708812260536,-9830.0,342198.0,-0.4227812939521801,-47.32974683544303
Site_1079,decreasing,True,0.0,-17.130540245931392,-0.9599616858237547,-10022.0,342200.0,-0.5282554347826085,-93.25560869565217
Site_108,decreasing,True,0.0,-16.597235932806342,-0.9300766283524904,-9710.0,342198.0,-0.4530805176132278,-60.33820273184759
Site_1080,decreasing,True,0.0,-16.59034957456982,-0.9296934865900384,-9706.0,342200.0,-0.4025000000000004,-61.72999999999996
Site_1081,decreasing,True,0.0,-16.26559891859639,-0.9114942528735632,-9516.0,342198.0,-0.4627272727272724,-60.46363636363639
Site_1082,decreasing,True,0.0,-16.197220152779902,-0.9076628352490421,-9476.0,342198.0,-0.3228450555261766,-84.92515600211529
Site_1083,decreasing,True,0.0,-16.559627611607276,-0.9279693486590038,-9688.0,342198.0,-0.47263868131868136,-51.420014945054945
Site_1084,decreasing,True,0.0,-16.60060635946909,-0.9302681992337165,-9712.0,342200.0,-0.42709911173445536,-68.92886395511923
Site_1085,decreasing,True,0.0,-16.763029946755744,-0.9393678160919541,-9807.0,342199.0,-0.3966666666666666,-62.12000000000001
Site_1086,decreasing,True,0.0,-16.952805515052063,-0.95,-9918.0,342198.0,-0.5476957113682777,-95.05590878148402
Site_1087,decreasing,True,0.0,-17.27413523452118,-0.9680076628352491,-10106.0,342200.0,-0.5834460227272726,-50.421886363636375
Site_1088,decreasing,True,0.0,-16.925404547945988,-0.9484674329501915,-9902.0,342200.0,-0.5117017772330319,-40.58747203922171
Site_1089,decreasing,True,0.0,-16.682709390076948,-0.9348659003831418,-9760.0,342198.0,-0.427827818627451,-107.39639705882351
Site_109,decreasing,True,0.0,-14.962983429792347,-0.8385057471264368,-8754.0,342198.0,-0.3606488192658406,-33.26328501285948
Site_1090,decreasing,True,0.0,-16.195534347633373,-0.9075670498084292,-9475.0,342197.0,-0.4095042839657283,-65.21569155446757
Site_1091,decreasing,True,0.0,-17.310059274000476,-0.9700191570881226,-10127.0,342199.0,-0.6364705882352939,-40.40411764705884
Site_1092,decreasing,True,0.0,-17.055323823336746,-0.9557471264367816,-9978.0,342200.0,-0.4828261856137964,-88.10651463580666
Site_1093,decreasing,True,0.0,-16.985260610948917,-0.9518199233716476,-9937.0,342199.0,-0.41599999999999965,-78.17800000000003
Site_1094,decreasing,True,0.0,-17.041648110137718,-0.9549808429118773,-9970.0,342200.0,-0.517885397123202,-93.96225140712946
Site_1095,decreasing,True,0.0,-16.445069150294742,-0.9215517241379311,-9621.0,342199.0,-0.45184620239848505,-70.16707342730908
Site_1096,decreasing,True,0.0,-16.61433062426046,-0.9310344827586207,-9720.0,342198.0,-0.48385856079404455,-29.13218362282879
Site_1097,decreasing,True,0.0,-16.80063821300382,-0.9414750957854406,-9829.0,342199.0,-0.4930769230769228,-89.21846153846155
Site_1098,decreasing,True,0.0,-15.586962442655805,-0.8734674329501916,-9119.0,342197.0,-0.422330316742082,-41.7622171945701
Site_1099,decreasing,True,0.0,-13.328821811851501,-0.7469348659003832,-7798.0,342193.3333333333,-0.1388580476900149,-64.69222056631892
Site_11,decreasing,True,0.0,-16.662195760332,-0.9337164750957855,-9748.0,342198.0,-0.4524999999999997,-68.31000000000003
Site_110,decreasing,True,0.0,-16.71174594732655,-0.9364942528735632,-9777.0,342199.0,-0.4471825396825397,-82.67285714285714
Site_1100,decreasing,True,0.0,-16.409194326811008,-0.9195402298850575,-9600.0,342198.0,-0.467527592480291,-65.87801334141906
Site_1101,decreasing,True,0.0,-16.474154154336667,-0.9231800766283524,-9638.0,342198.0,-0.3662020202020202,-61.58345454545455
Site_1102,decreasing,True,0.0,-16.592083281991766,-0.9297892720306513,-9707.0,342199.0,-0.4268181818181818,-67.6490909090909
Site_1103,decreasing,True,0.0,-15.735663483518628,-0.8818007662835249,-9206.0,342198.0,-0.3758704693998812,-44.937326203208556
Site_1104,decreasing,True,0.0,-16.72373664956684,-0.9371647509578545,-9784.0,342198.0,-0.49059615384615385,-46.94707692307692
Site_1105,decreasing,True,0.0,-16.250189952463806,-0.910632183908046,-9507.0,342199.0,-0.3501329225352112,-70.70042957746479
Site_1106,decreasing,True,0.0,-16.727155587857663,-0.9373563218390805,-9786.0,342198.0,-0.49137592968221766,-41.71093306288033
Site_1107,decreasing,True,0.0,-15.689484892037958,-0.8792145593869731,-9179.0,342199.0,-0.29066666666666663,-64.142
