date,norm_level
2013-01-31,-0.21972188914049948
2013-02-28,-0.43129991910553467
2013-03-31,-0.21494187781683358
2013-04-30,-0.31861140632292223
2013-05-31,-0.2003683521483378
2013-06-30,-0.0771342545480864
2013-07-31,0.9293751934112068
2013-08-31,1.0017231820836332
2013-09-30,0.8636049208688539
2013-10-31,0.28978313123835464
2013-11-30,0.1299275924707308
2013-12-31,-0.18493377308696465
2014-01-31,-0.2836043329384687
2014-02-28,-0.2077470914078212
2014-03-31,-0.1286123981575406
2014-04-30,-0.1283580014623191
2014-05-31,0.11215705852743307
2014-06-30,-0.06972368322454864
2014-07-31,0.43277979911963704
2014-08-31,0.9334147987433355
2014-09-30,0.4416058493164431
2014-10-31,0.1900511449383641
2014-11-30,0.05286958920909517
2014-12-31,-0.10868871251964775
2015-01-31,-0.20077443581543347
2015-02-28,-0.24976658069255925
2015-03-31,-0.3509197072759086
2015-04-30,-0.1482127641234098
2015-05-31,-0.3097299133558483
2015-06-30,-0.34619919806137806
2015-07-31,0.5003646242426518
2015-08-31,0.8929216275214154
2015-09-30,0.5612936367974947
2015-10-31,0.18751031092138143
2015-11-30,-0.11623211945133338
2015-12-31,-0.2357656154359482
2016-01-31,-0.17552787414717716
2016-02-29,-0.4401917049837315
2016-03-31,-0.2321174773155416
2016-04-30,-0.24731261097401375
2016-05-31,-0.4343580007974048
2016-06-30,-0.1941447698362611
2016-07-31,0.3839617269590747
2016-08-31,0.8375444883287452
2016-09-30,0.3520025804170979
2016-10-31,0.1383241318935981
2016-11-30,0.05161743369445066
2016-12-31,-0.06898247560671249
2017-01-31,-0.15866190188921173
2017-02-28,-0.2544596323876153
2017-03-31,-0.23185825855746142
2017-04-30,-0.2430506434508381
2017-05-31,-0.4992743549643237
2017-06-30,-0.036600163095996105
2017-07-31,0.7385649200482164
2017-08-31,0.710828389279181
2017-09-30,0.440685329665548
2017-10-31,0.08884918202811852
2017-11-30,-0.13782940789607429
2017-12-31,-0.1647736430373372
2018-01-31,-0.13194426265861195
2018-02-28,-0.301587410283731
2018-03-31,-0.2672991375332478
2018-04-30,-0.14109532372409417
2018-05-31,-0.023566041137377373
2018-06-30,-0.13980881663478467
2018-07-31,0.18043520045941222
2018-08-31,0.4136661883217948
2018-09-30,0.3680755584612388
2018-10-31,0.048819113232565055
2018-11-30,-0.014237289153004573
2018-12-31,-0.17543070910881162
2019-01-31,-0.33680932951883363
2019-02-28,-0.19074655035626692
2019-03-31,-0.45155835919815207
2019-04-30,-0.6470146461271492
2019-05-31,-0.773256967819544
2019-06-30,-0.3788086024560432
2019-07-31,-0.3837939411979739
2019-08-31,0.48091025430117984
2019-09-30,-0.04586379839479425
2019-10-31,-0.3612063209468183
2019-11-30,-0.3259588727345284
2019-12-31,-0.681105641554121
2020-01-31,-0.8349869831033898
2020-02-29,-0.8383637784528087
2020-03-31,-0.786384864014466
2020-04-30,-0.8126208348046056
2020-05-31,-0.6341029194083215
2020-06-30,-0.3008250130786135
2020-07-31,0.12114666003953375
2020-08-31,0.5159486171546462
2020-09-30,0.3731325463133062
2020-10-31,-0.14745597100301114
2020-11-30,-0.05939232829409003
2020-12-31,-0.27976051308147126
2021-01-31,-0.4135490482760198
2021-02-28,-0.4056884027256589
2021-03-31,-0.49323968773947297
2021-04-30,-0.5965939401875532
2021-05-31,-0.4147928520852449
2021-06-30,-0.17086792910954807
2021-07-31,0.42751147757103536
2021-08-31,0.9022217926129513
2021-09-30,0.6722517226143985
2021-10-31,0.1550430083548405
2021-11-30,0.14844646557912727
2021-12-31,0.041347490810898155
2022-01-31,-0.12489000130336757
2022-02-28,0.09487689976669034
2022-03-31,-0.24519806706888736
2022-04-30,0.030490357627977794
2022-05-31,0.18861474605453415
2022-06-30,0.20750070198781093
2022-07-31,0.8353813639425063
2022-08-31,1.2984082145744644
2022-09-30,1.2591293411710591
2022-10-31,0.7394824750339325
2022-11-30,0.6875846018500881
2022-12-31,0.49831551832075777
