SiteNo;DecLatVa;DecLongVa;AltVa
2403102;33.986667;-102.716944;3740
2402702;33.900834;-102.867778;3855
2402701;33.904167;-102.850556;3847
2402301;33.998056;-102.784445;3853
2411301;33.852778;-102.641111;3692
2410101;33.855278;-102.863889;3850
1137914;34.39;-101.4111111;3313
1129601;34.57;-101.4154056;3285
1131402;34.55;-101.2422722;3275
1131801;34.51;-101.1788889;3225
1137501;34.46;-101.4527778;3314
1137701;34.39;-101.4609667;3321
1138109;34.48;-101.34;3296
1145314;34.36;-101.3865472;3297
1138402;34.42;-101.3497222;3289
1138921;34.38;-101.2833333;3242
1139201;34.47;-101.1900778;3229
1146214;34.36;-101.3063889;3236
1129703;34.513889;-101.470278;3271
1121801;34.643334;-101.434722;3342
1145512;34.318333;-101.445834;3305
1139605;34.457778;-101.155001;3206
1138728;34.3775;-101.347222;3280
1130504;34.5519444;-101.2925;3267
1121214;34.7277778;-101.4233333;3325
1146101;34.349167;-101.333611;3270
1137601;34.45;-101.4155556;3317
1145607;34.3188889;-101.4033333;3286
2803601;32.9295556;-101.6366056;2951
2812402;32.831111;-101.585278;2942
2803901;32.901112;-101.651945;2963
2804702;32.8760083;-101.5964417;2946
628601;35.570555;-101.5325;3185
636819;35.407223;-101.545278;3530
638701;35.411667;-101.364167;3460
638811;35.383889;-101.310834;3438
646302;35.348889;-101.256112;3386
636808;35.38;-101.550278;3527
636913;35.39;-101.541389;3516
636602;35.43;-101.5302778;3545
636919;35.39;-101.519722;3517
636921;35.41;-101.519444;3534
637458;35.46;-101.486945;3493
637710;35.38;-101.486945;3470
638711;35.4;-101.345556;3449
639956;35.41;-101.136945;3306
644306;35.36;-101.508612;3482
644763;35.27;-101.603612;3509
644767;35.27;-101.585278;3520
644768;35.28;-101.618889;3543
629703;35.510278;-101.486667;3345
644959;35.25;-101.538889;3462
646304;35.37;-101.282222;3413
646552;35.3;-101.311389;3379
647554;35.3;-101.186389;3303
636712;35.3933333;-101.6216667;3434
640710;35.3936556;-101.0956444;3273
631203;35.591667;-101.173889;3250
631301;35.591111;-101.135834;3050
636707;35.383055;-101.607501;3551
636809;35.391111;-101.551112;3513
636812;35.384445;-101.559723;3546
636818;35.398889;-101.545278;3510
636912;35.385556;-101.541111;3516
637405;35.425278;-101.47;3510
638916;35.401112;-101.290278;3415
639301;35.481667;-101.136667;3335
639501;35.421389;-101.203334;3367
639605;35.444445;-101.145556;3312
644311;35.339167;-101.538889;3536
644656;35.3011111;-101.5058333;3513
645201;35.355001;-101.4275;3475
646412;35.302778;-101.361389;3443
646504;35.326111;-101.307223;3408
646601;35.309445;-101.274722;3391
636905;35.402778;-101.525;3534
639865;35.3997222;-101.175;3357
639909;35.405278;-101.151389;3326
646701;35.256112;-101.363056;3444
647604;35.296111;-101.141389;3311
652101;35.22;-101.600834;3522
652301;35.211667;-101.539167;3527
656108;35.243889;-101.093889;3277
655113;35.2266667;-101.2258333;3362
655156;35.222778;-101.238611;3364
631957;35.5269444;-101.1283333;3255
646805;35.2686111;-101.3019444;3412
654605;35.1930944;-101.2578917;3381
644102;35.37;-101.6122222;3594
630401;35.580278;-101.373889;3180
636154;35.483334;-101.614723;3465
644701;35.266389;-101.596111;3517
645104;35.354445;-101.490556;3468
645513;35.328055;-101.444445;3491
652508;35.208056;-101.561945;3530
636828;35.4041667;-101.5683333;3570
636951;35.3883333;-101.5052778;3504
630901;35.5325;-101.2783333;3320
645701;35.2811111;-101.4822222;3493
644321;35.35;-101.5302778;3533
631701;35.5008333;-101.2472222;3380
646162;35.3338889;-101.3375;3431
644618;35.3175;-101.5108333;3495
644853;35.2811111;-101.5491667;3510
639606;35.4319444;-101.1363889;3302
632713;35.5135194;-101.1232389;3328
637502;35.441389;-101.417778;3390
628102;35.598056;-101.589445;3315
628701;35.515834;-101.591667;3396
647409;35.3003972;-101.2151278;3356
638601;35.443056;-101.268889;3416
647806;35.262223;-101.189167;3338
636608;35.419167;-101.521389;3540
644205;35.365278;-101.556112;3538
646757;35.2725;-101.360278;3431
646904;35.278055;-101.256945;3378
647205;35.368889;-101.167778;3355
647308;35.349445;-101.163334;3346
636610;35.423333;-101.503334;3515
639608;35.4297222;-101.1491667;3326
1024401;34.69;-102.099167;3786
1021803;34.65;-102.447222;3902
1048302;34.352501;-102.038334;3601
1030403;34.55;-102.364723;3915
1038401;34.421389;-102.366112;3792
1030505;34.57;-102.314167;3882
1030701;34.51;-102.358334;3856
1030802;34.5;-102.303056;3810
1040502;34.45;-102.0708333;3703
1040503;34.43;-102.043334;3671
1020602;34.67;-102.514167;3920
1021404;34.71;-102.462778;3920
1021703;34.63;-102.485278;3937
1022404;34.7;-102.373055;3843
1022602;34.68;-102.282222;3811
1022703;34.65;-102.360834;3856
1024901;34.65;-102.008334;3707
1029302;34.61;-102.403889;3937
1029704;34.53;-102.468333;3946
1029912;34.52;-102.411389;3889
1030203;34.6;-102.311945;3872
1030301;34.61;-102.265834;3822
1031501;34.55;-102.195;3804
1031601;34.57;-102.141111;3761
1031803;34.52;-102.1775;3774
1032201;34.61;-102.0683333;3738
1032301;34.61;-102.020555;3703
1032502;34.57;-102.068889;3741
1032703;34.53;-102.1236111;3772
1032803;34.52;-102.07;3724
1036301;34.48;-102.512223;3886
1037101;34.47;-102.4613889;3865
1037403;34.42;-102.497222;3851
1037502;34.43;-102.422778;3813
1037701;34.38;-102.464723;3823
1038101;34.46;-102.352223;3802
1038201;34.47;-102.2975;3768
1038603;34.44;-102.260278;3734
1038703;34.4;-102.334722;3764
1039601;34.44;-102.155834;3711
1039702;34.38;-102.233611;3703
1039901;34.39;-102.153334;3677
1040301;34.49;-102.006389;3642
1045202;34.34;-102.418055;3794
1046202;34.36;-102.3030556;3719
1046304;34.37;-102.27;3719
1047102;34.35;-102.216667;3684
1047203;34.34;-102.185834;3686
1047204;34.36;-102.180278;3684
1048603;34.33;-102.0088889;3578
1045301;34.41;-102.036945;3796
1141108;34.36;-101.999445;3590
1039801;34.41;-102.1975;3712
1037601;34.44;-102.400834;3802
1022203;34.733611;-102.317222;3843
1022903;34.644722;-102.273889;3828
1031701;34.54;-102.22;3823
1021205;34.734722;-102.424167;3884
1021605;34.674444;-102.398334;3859
1046103;34.365556;-102.336111;3753
1046407;34.319444;-102.344445;3748
1023702;34.665278;-102.210001;3817
1023703;34.643889;-102.238889;3811
1028301;34.595834;-102.516944;3989
1046302;34.340556;-102.277778;3712
1032601;34.558889;-102.005834;3673
1031201;34.584167;-102.185;3788
1029201;34.590556;-102.456112;3953
1023902;34.657501;-102.139167;3807
1030607;34.580555;-102.266389;3834
1045403;34.328333;-102.496667;3810
1030103;34.598056;-102.355556;3900
1037903;34.3969444;-102.3977778;3792
1038902;34.404445;-102.269444;3726
1039102;34.479167;-102.226389;3773
1037301;34.484445;-102.407223;3836
1040102;34.48;-102.124444;3758
1040804;34.39;-102.053612;3653
1022302;34.724444;-102.263334;3845
1022801;34.66;-102.3147222;3838
1024501;34.69;-102.042222;3729
1024802;34.66;-102.059445;3734
1037102;34.5;-102.461112;3886
1040402;34.42;-102.107778;3689
1029603;34.567778;-102.405834;3920
1031;39.021946;-102.768267;4720.31
1027;38.965565;-102.298524;4211.2
1004;38.780294;-102.105192;3945.56
149917;38.856533;-102.258965;4126
990;38.944447;-102.410469;4384.1
993;38.913613;-102.52825;4526.86
996;38.811398;-102.052679;3886.54
997;38.790842;-102.052679;3889
994;38.864183;-102.052137;3896.58
1088;39.015403;-102.659277;4565
149871;38.854333;-102.237606;4122
998;38.803623;-102.109359;3962.55
149709;39.029324;-102.429219;4332
149710;39.024406;-102.44894;4413
149687;38.961036;-102.213236;4098
149688;39.045841;-102.239088;4224
1007;38.783908;-102.165475;4022.57
1124;38.857868;-102.17564;4025
1008;38.780848;-102.197698;4072.58
1108;39.005772;-102.07879;3960
1115;38.943668;-102.212567;4160
151052;39.044599;-102.226613;4190
1110;38.969486;-102.223115;4120
152187;39.019036;-102.480419;4451
149916;38.785865;-102.125766;3960
1002;38.863348;-102.464919;4353.84
987;38.903629;-102.054474;3874.25
1006;38.734185;-102.089629;3978.77
149870;38.817768;-102.382029;4322
149918;38.83461;-102.372542;4260
1028;39.002228;-102.34298;4316.74
999;38.830294;-102.372136;4258.74
981;39.026678;-102.204641;4176.67
984;38.943901;-102.113242;3911.88
985;38.915572;-102.146022;4003.58
989;38.908899;-102.347699;4232.56
991;38.885289;-102.405199;4360.97
1009;38.782506;-102.456301;4392.94
1010;38.686956;-102.160738;4068.35
2433802;33.4;-102.939445;3813
2524601;33.707223;-103.0225;3955
2411805;33.790556;-102.703612;3741
2418401;33.688611;-102.864723;3822
2418312;33.72;-102.774444;3783
2433101;33.485;-102.973055;3871
2434401;33.457778;-102.853056;3802
2433703;33.411389;-102.995278;3847
2427801;33.539722;-102.673611;3695
2426702;33.511945;-102.868611;3798
2409607;33.81;-102.900001;3853
2409801;33.76;-102.956389;3903
2417504;33.69;-102.939445;3876
2417801;33.64;-102.921667;3860
2418502;33.68;-102.83;3841
2419703;33.66;-102.721944;3733
2425702;33.52;-102.998334;3911
2433502;33.45;-102.950278;3835
2434304;33.46;-102.779444;3760
2409901;33.77;-102.896945;3836
2428401;33.57;-102.618055;3689
2418102;33.749722;-102.865556;3850
2418901;33.660556;-102.770278;3769
2418301;33.748611;-102.779167;3775
2418202;33.749445;-102.821944;3807
2418201;33.714723;-102.824444;3831
2419902;33.642222;-102.644445;3700
2419601;33.680833;-102.665556;3718
2417701;33.643334;-102.965834;3907
2433401;33.454167;-102.968611;3855
2427201;33.619444;-102.675555;3716
2426501;33.5722222;-102.8275;3784
2516902;33.7602778;-103.0227778;3934
2434801;33.403612;-102.813056;3750
2425101;33.62;-102.996111;3937
2417102;33.72;-102.9841667;3932
2419301;33.7202778;-102.655;3711
2435401;33.425833;-102.727222;3702
2426101;33.621111;-102.862778;3816
2425401;33.563889;-102.988611;3905
2433402;33.436389;-102.968889;3846
2435305;33.474167;-102.660556;3666
2411803;33.753334;-102.669722;3708
2410702;33.791111;-102.87;3845
2409401;33.798334;-102.972222;3895
2418601;33.688056;-102.778333;3808
2427301;33.601389;-102.641389;3703
2417903;33.661945;-102.882778;3846
2427901;33.529167;-102.638056;3661
2540601;33.429167;-103.021944;3873
2516903;33.780833;-103.020555;3911
2516603;33.820833;-103.02;3915
2411501;33.793889;-102.680278;3730
2435601;33.443889;-102.631111;3636
2435503;33.456945;-102.686945;3674
2418103;33.726111;-102.866389;3842
2433201;33.46;-102.916667;3812
2410903;33.778889;-102.791389;3803
2410503;33.811667;-102.810001;3818
2419702;33.636111;-102.731389;3749
2418904;33.643889;-102.765278;3781
2328602;33.553612;-101.531389;3092
2316801;33.7837722;-101.0698056;3024
2321611;33.698056;-101.378611;3112
2321303;33.718611;-101.388611;3122
2320509;33.681944;-101.550278;3172
2337204;33.484445;-101.445834;3034
2330402;33.551389;-101.351389;3032
2329702;33.53;-101.462501;3090
2329201;33.59;-101.435278;3093
2321801;33.665834;-101.434445;3120
2330103;33.587777;-101.341666;3052
2316703;33.77;-101.115834;3026
2315701;33.756389;-101.220833;3067
2315606;33.814723;-101.1325;3053
2315403;33.829444;-101.249722;3075
2314602;33.7975;-101.283611;3084
2313904;33.772778;-101.403056;3138
2313805;33.7725;-101.457223;3159
2313402;33.814723;-101.483055;3174
2312608;33.82;-101.521111;3200
2322907;33.649167;-101.263334;3020
2322602;33.6775;-101.263612;3051
2314403;33.8;-101.364723;3121
2322502;33.696111;-101.298056;3066
2320907;33.65;-101.535278;3166
2323407;33.67;-101.223889;3024
2322205;33.725278;-101.312778;3071
2328313;33.6;-101.535556;3122
2321903;33.660125;-101.403025;3114
2321402;33.694445;-101.467222;3140
2320615;33.68;-101.511945;3162
2320305;33.734722;-101.526389;3182
2330302;33.602223;-101.270278;3013
2329602;33.552778;-101.396667;3054
2329402;33.569722;-101.475;3110
2328901;33.505556;-101.532222;3065
2312902;33.7672222;-101.5077778;3184
2321706;33.665556;-101.483055;3144
2330502;33.561112;-101.299167;3024
2330901;33.522222;-101.269167;3006
2323302;33.715278;-101.164723;3012
2322704;33.645278;-101.335278;3075
2320906;33.651112;-101.505834;3151
2330701;33.520278;-101.354167;3014
2329803;33.510278;-101.443611;3046
2323805;33.645556;-101.194167;3000
2330201;33.616389;-101.310278;3056
2320201;33.710278;-101.543611;3182
2328310;33.6236111;-101.5266667;3141
2321101;33.721111;-101.4825;3160
2331201;33.601389;-101.194445;2979
2315501;33.821389;-101.205001;3077
2313502;33.821111;-101.444167;3172
2312801;33.761389;-101.560278;3202
2322305;33.718611;-101.262501;3060
2324203;33.739445;-101.043889;3000
2324505;33.703056;-101.059167;2998
2314803;33.769167;-101.316944;3091
2336301;33.491389;-101.518611;3045
2322102;33.74;-101.350556;3110
2329203;33.622222;-101.425;3104
2331101;33.608334;-101.2375;3005
2316501;33.816112;-101.065834;3040
2329302;33.602778;-101.393889;3075
251702;36.139722;-102.741389;4191
252301;36.231111;-102.512223;4064
252801;36.156389;-102.582222;4081
253201;36.219722;-102.447778;4032
258102;36.086389;-102.860278;4275
260201;36.101945;-102.581111;4050
263201;36.088611;-102.191111;3802
148902;36.251389;-103.004167;4531
164301;36.119722;-103.001112;4439
235803;36.388889;-102.700001;4336
244601;36.321944;-102.525278;4092
245101;36.347778;-102.463056;4033
251501;36.168889;-102.698334;4180
254701;36.146945;-102.358056;3942
254802;36.125555;-102.321111;3911
261501;36.079722;-102.452223;3975
236903;36.4111111;-102.5402778;4135
233501;36.432778;-102.933889;4576
242903;36.279167;-102.759167;4266
253601;36.197222;-102.396111;3963
263101;36.110834;-102.223611;3817
249201;36.241389;-102.932778;4432
249801;36.148611;-102.941111;4376
250403;36.202501;-102.836667;4348
255802;36.127222;-102.186945;3777
260303;36.124166;-102.508611;4009
237701;36.400834;-102.483611;4037
239502;36.451945;-102.191945;3828
241304;36.345;-102.8825;4399
252601;36.205556;-102.522222;4080
258302;36.106945;-102.770555;4230
245301;36.370833;-102.393889;3955
249401;36.191667;-102.975833;4459
249704;36.140834;-102.981111;4412
249901;36.126111;-102.896111;4331
250701;36.160556;-102.850556;4330
2817705;32.6333333;-101.9608333;2923
2809301;32.8480556;-101.895;3000
2817307;32.7488889;-101.9102778;2983
2826206;32.5908333;-101.8297222;2872
2732502;32.5619;-102.0673;2920
2801702;32.8958333;-101.9938889;3058
2716605;32.8258333;-102.0277778;3046
2708405;32.93;-102.1177778;3120
2708503;32.94;-102.06;3090
2732202;32.6236111;-102.0711111;2975
2801801;32.9005556;-101.9294444;3041
2809907;32.7841667;-101.8758333;2985
2810706;32.7847222;-101.8488889;2957
2817120;32.7230556;-101.9891667;2979
2724704;32.6280556;-102.0880556;2978
2716611;32.83;-102.0263889;3045
2825506;32.5472222;-101.9352778;2860
2716803;32.79;-102.0463889;3015
2724703;32.6655556;-102.095;2962
2817121;32.7288889;-101.9672222;2950
2817306;32.7177778;-101.9125;2965
2817506;32.6872222;-101.9419444;2966
2818205;32.7208333;-101.8330556;2940
2826403;32.5827778;-101.8458333;2866
2827201;32.6141667;-101.7008333;2830
2732703;32.5411111;-102.1172222;2910
2817702;32.6673;-101.9668;2931
2810705;32.7733333;-101.8663889;2983
2809414;32.8116667;-101.9630556;3027
2803402;32.951;-101.7184;2990
2801504;32.9563889;-101.9475;3050
2827101;32.585;-101.7438889;2840
2707901;32.9158333;-102.1558333;3109
2707801;32.9122222;-102.1944444;3133
2724904;32.6461111;-102.0377778;2970
2724202;32.7311111;-102.0702778;3008
2809602;32.8033333;-101.9152778;3014
2802901;32.9044444;-101.7652778;2989
2802702;32.9152778;-101.8672222;3020
2802501;32.9433333;-101.8083333;3031
2818202;32.7255556;-101.8169444;2942
2818201;32.7136111;-101.7944444;2936
2817208;32.7291667;-101.9327778;2963
2826802;32.5388889;-101.8280556;2796
2825903;32.5286111;-101.8955556;2802
2819703;32.6644444;-101.7383333;2890
2819101;32.74;-101.7386111;2930
2818902;32.65;-101.7588889;2880
2818801;32.6325;-101.8013889;2870
2715201;32.8569444;-102.1683333;3124
2708801;32.8816667;-102.0580556;3087
2724101;32.7097222;-102.1022222;3000
2817807;32.6411111;-101.9205556;2907
2817501;32.7027778;-101.9238889;2950
2817118;32.7452778;-101.9952778;2983
2810402;32.8219444;-101.8513889;2963
2827801;32.5313889;-101.6894444;2802
2825803;32.5319444;-101.9494444;2831
2810801;32.7533;-101.8183;2943
2708505;32.917222;-102.072778;3093
2819411;32.684;-101.7115;2890
2827506;32.5719444;-101.7011111;2810
2826401;32.5722222;-101.8563889;2857
2732601;32.560278;-102.019722;2934
2818301;32.733334;-101.766112;2934
2818501;32.7066667;-101.83;2914
2716702;32.7738889;-102.0919444;3025
2716204;32.8722222;-102.0658333;3072
2809101;32.8361111;-101.9925;3051
2817508;32.6786111;-101.9361111;2942
2716201;32.8544444;-102.0447222;3059
2817122;32.7338889;-101.9758333;2948
2724902;32.663056;-102.040556;2950
2716802;32.791389;-102.048889;3030
2809605;32.7936111;-101.9097222;2998
2708602;32.9366667;-102.0133333;3060
2825604;32.574999;-101.881388;2855
2732101;32.5975;-102.1191667;2990
2809908;32.788889;-101.897778;2986
2825404;32.5783333;-101.9622222;2899
2818708;32.6555556;-101.855;2909
2731804;32.5236111;-102.195;2945
2802404;32.9347222;-101.8508333;3040
2818103;32.7438889;-101.8586111;2969
2708701;32.8886111;-102.0958333;3098
2809721;32.7597222;-101.9605556;2993
2707501;32.9452778;-102.1872222;3149
2716205;32.8430556;-102.0436111;3046
2716202;32.8513889;-102.0783333;3075
2809901;32.7633333;-101.8994444;2985
2809809;32.7822222;-101.9230556;3007
2809710;32.7652778;-101.9736111;2984
2825406;32.5583333;-101.9641667;2900
1013305;34.87;-102.404445;3834
1014704;34.78;-102.334167;3841
753701;35.16;-102.488611;4051
762301;35.1;-102.273889;3895
1003902;34.91;-102.633055;4077
1009801;34.77;-102.919722;4208
1013104;34.87;-102.477778;3901
1013910;34.76;-102.388334;3851
1014706;34.77;-102.361945;3851
752616;35.17;-102.5361111;4097
753902;35.15;-102.391389;3994
754702;35.14;-102.347222;3962
754901;35.15;-102.276389;3886
755701;35.16;-102.224722;3881
757201;35.11;-102.9297222;4318
757502;35.06;-102.9213889;4320
758601;35.05;-102.7638889;4243
759101;35.12;-102.71;4167
759201;35.1;-102.6808333;4156
759501;35.07;-102.7025;4185
759602;35.05;-102.6577778;4162
759801;35.03;-102.6844444;4138
760101;35.1;-102.6055556;4157
760201;35.1;-102.5644444;4121
760502;35.07;-102.549722;4081
760701;35.01;-102.5975;4067
760901;35.03;-102.5175;4033
761105;35.11;-102.471389;4033
761224;35.1;-102.436389;4010
761324;35.1;-102.401112;3985
761523;35.06;-102.446389;3997
761601;35.07;-102.393056;3964
761802;35.03;-102.433889;3971
762502;35.06;-102.312778;3907
762601;35.06;-102.256389;3857
762823;35.01;-102.313889;3882
763702;35.01;-102.213334;3821
916901;34.77;-103.027222;4268
1001401;34.93;-102.9752778;4327
1002802;34.89;-102.8019444;4218
1003903;34.91;-102.659167;4103
1004102;34.97;-102.620278;4136
1004202;35;-102.556112;4076
1004203;34.97;-102.553612;4092
1004301;34.99;-102.508889;4053
1004504;34.93;-102.575;4059
1005225;34.97;-102.438056;3943
1005814;34.89;-102.457223;3876
1005905;34.9;-102.407223;3861
1006101;34.98;-102.372222;3889
1006302;34.99;-102.255278;3834
1006403;34.94;-102.359445;3849
1006602;34.94;-102.251667;3811
1006710;34.9;-102.333611;3797
1006909;34.91;-102.288889;3792
1007805;34.91;-102.198056;3794
1009101;34.87;-102.9730556;4388
1009601;34.82;-102.9030556;4212
1009701;34.78;-102.963056;4291
1010101;34.86;-102.8577778;4197
1010601;34.8;-102.752501;4051
