AgencyCd,SiteNo,Time,Original Parameter,Original Direction,Original Unit,Original Value,Accuracy Unit,Accuracy Value,Depth to Water Below Land Surface in ft.,Water level in feet relative to NAVD88,Comment,Observation Method,Data Provided by,Unnamed: 14,DecLatVa,DecLongVa
CODWR,996,2011-01-03T00:00:00-07:00,,,ft,256.1,UNKNOWN,Unknown,256.1,3630.44,,UNKNOWN,DWR (Manual),,38.811398,-102.052679
CODWR,996,2012-02-06T00:00:00-07:00,,,ft,259.9,UNKNOWN,Unknown,259.9,3626.64,,UNKNOWN,DWR (Manual),,38.811398,-102.052679
CODWR,996,2013-02-26T00:00:00-07:00,,,ft,264.2,UNKNOWN,Unknown,264.2,3622.34,,UNKNOWN,DWR (Manual),,38.811398,-102.052679
CODWR,996,2014-02-25T00:00:00-07:00,,,ft,265.9,UNKNOWN,Unknown,265.9,3620.64,,UNKNOWN,DWR (Manual),,38.811398,-102.052679
CODWR,996,2014-12-18T00:00:00-07:00,,,ft,263.7,UNKNOWN,Unknown,263.7,3622.84,,UNKNOWN,DWR (Manual),,38.811398,-102.052679
CODWR,996,2017-03-27T00:00:00-06:00,,,ft,259.6,UNKNOWN,Unknown,259.6,3626.94,,UNKNOWN,DWR (Manual),,38.811398,-102.052679
CODWR,996,2018-03-19T00:00:00-06:00,,,ft,262.0,UNKNOWN,Unknown,262.0,3624.54,,UNKNOWN,DWR (Manual),,38.811398,-102.052679
CODWR,996,2019-03-30T00:00:00-06:00,,,ft,261.2,UNKNOWN,Unknown,261.2,3625.34,,UNKNOWN,DWR (Manual),,38.811398,-102.052679
CODWR,996,2020-03-25T00:00:00-06:00,,,ft,259.7,UNKNOWN,Unknown,259.7,3626.84,,UNKNOWN,DWR (Manual),,38.811398,-102.052679
CODWR,996,2021-03-26T00:00:00-06:00,,,ft,253.0,UNKNOWN,Unknown,253.0,3633.54,,UNKNOWN,DWR (Manual),,38.811398,-102.052679
CODWR,996,2022-03-27T00:00:00-06:00,,,ft,255.0,UNKNOWN,Unknown,255.0,3631.54,,UNKNOWN,DWR (Manual),,38.811398,-102.052679
CODWR,997,1993-01-26T00:00:00-07:00,,,ft,199.93,UNKNOWN,Unknown,199.93,3689.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,1994-01-13T00:00:00-07:00,,,ft,201.05,UNKNOWN,Unknown,201.05,3688.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,1995-01-15T00:00:00-07:00,,,ft,202.95,UNKNOWN,Unknown,202.95,3686.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,1995-12-21T00:00:00-07:00,,,ft,204.8,UNKNOWN,Unknown,204.8,3684.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,1997-01-18T00:00:00-07:00,,,ft,206.77,UNKNOWN,Unknown,206.77,3682.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,1998-01-17T00:00:00-07:00,,,ft,208.56,UNKNOWN,Unknown,208.56,3680.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,1999-01-21T00:00:00-07:00,,,ft,211.28,UNKNOWN,Unknown,211.28,3678.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2000-01-18T00:00:00-07:00,,,ft,212.7,UNKNOWN,Unknown,212.7,3676.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2000-12-27T00:00:00-07:00,,,ft,215.77,UNKNOWN,Unknown,215.77,3673.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2001-12-26T00:00:00-07:00,,,ft,218.55,UNKNOWN,Unknown,218.55,3670.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2002-12-26T00:00:00-07:00,,,ft,223.32,UNKNOWN,Unknown,223.32,3666.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2003-12-23T00:00:00-07:00,,,ft,225.1,UNKNOWN,Unknown,225.1,3664.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2004-12-20T00:00:00-07:00,,,ft,226.8,UNKNOWN,Unknown,226.8,3662.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2006-02-01T00:00:00-07:00,,,ft,227.98,UNKNOWN,Unknown,227.98,3661.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2007-04-09T00:00:00-06:00,,,ft,230.5,UNKNOWN,Unknown,230.5,3659.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2008-01-11T00:00:00-07:00,,,ft,236.72,UNKNOWN,Unknown,236.72,3652.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2009-04-04T00:00:00-06:00,,,ft,237.55,UNKNOWN,Unknown,237.55,3651.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2010-02-15T00:00:00-07:00,,,ft,238.5,UNKNOWN,Unknown,238.5,3651.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2017-03-27T00:00:00-06:00,,,ft,256.9,UNKNOWN,Unknown,256.9,3632.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2018-03-19T00:00:00-06:00,,,ft,257.6,UNKNOWN,Unknown,257.6,3631.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2019-03-30T00:00:00-06:00,,,ft,257.1,UNKNOWN,Unknown,257.1,3632.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2020-03-25T00:00:00-06:00,,,ft,258.3,UNKNOWN,Unknown,258.3,3631.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2021-03-26T00:00:00-06:00,,,ft,248.9,UNKNOWN,Unknown,248.9,3640.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,997,2022-03-28T00:00:00-06:00,,,ft,251.5,UNKNOWN,Unknown,251.5,3638.0,,UNKNOWN,DWR (Manual),,38.790842,-102.052679
CODWR,994,1993-01-26T00:00:00-07:00,,,ft,200.22,UNKNOWN,Unknown,200.22,3696.36,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,1994-01-13T00:00:00-07:00,,,ft,201.12,UNKNOWN,Unknown,201.12,3695.46,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,1995-01-15T00:00:00-07:00,,,ft,201.84,UNKNOWN,Unknown,201.84,3694.74,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,1995-12-20T00:00:00-07:00,,,ft,204.25,UNKNOWN,Unknown,204.25,3692.33,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,1997-01-18T00:00:00-07:00,,,ft,206.28,UNKNOWN,Unknown,206.28,3690.3,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,1998-01-16T00:00:00-07:00,,,ft,207.74,UNKNOWN,Unknown,207.74,3688.84,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,1999-01-21T00:00:00-07:00,,,ft,208.7,UNKNOWN,Unknown,208.7,3687.88,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2000-01-18T00:00:00-07:00,,,ft,210.78,UNKNOWN,Unknown,210.78,3685.8,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2000-12-27T00:00:00-07:00,,,ft,213.88,UNKNOWN,Unknown,213.88,3682.7,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2001-12-26T00:00:00-07:00,,,ft,215.89,UNKNOWN,Unknown,215.89,3680.69,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2002-12-26T00:00:00-07:00,,,ft,220.07,UNKNOWN,Unknown,220.07,3676.51,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2003-12-23T00:00:00-07:00,,,ft,222.62,UNKNOWN,Unknown,222.62,3673.96,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2004-12-20T00:00:00-07:00,,,ft,224.77,UNKNOWN,Unknown,224.77,3671.81,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2006-02-01T00:00:00-07:00,,,ft,227.05,UNKNOWN,Unknown,227.05,3669.53,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2007-03-16T00:00:00-06:00,,,ft,232.55,UNKNOWN,Unknown,232.55,3664.03,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2008-01-09T00:00:00-07:00,,,ft,231.3,UNKNOWN,Unknown,231.3,3665.28,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2009-04-27T00:00:00-06:00,,,ft,232.17,UNKNOWN,Unknown,232.17,3664.41,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2010-02-12T00:00:00-07:00,,,ft,228.8,UNKNOWN,Unknown,228.8,3667.78,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2011-01-03T00:00:00-07:00,,,ft,228.9,UNKNOWN,Unknown,228.9,3667.68,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2012-02-06T00:00:00-07:00,,,ft,232.1,UNKNOWN,Unknown,232.1,3664.48,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2013-02-26T00:00:00-07:00,,,ft,246.7,UNKNOWN,Unknown,246.7,3649.88,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2014-02-25T00:00:00-07:00,,,ft,240.3,UNKNOWN,Unknown,240.3,3656.28,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2014-12-18T00:00:00-07:00,,,ft,241.0,UNKNOWN,Unknown,241.0,3655.58,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2017-03-20T00:00:00-06:00,,,ft,203.1,UNKNOWN,Unknown,203.1,3693.48,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2018-03-27T00:00:00-06:00,,,ft,234.9,UNKNOWN,Unknown,234.9,3661.68,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2019-03-30T00:00:00-06:00,,,ft,229.4,UNKNOWN,Unknown,229.4,3667.18,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2020-03-25T00:00:00-06:00,,,ft,229.2,UNKNOWN,Unknown,229.2,3667.38,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2021-03-27T00:00:00-06:00,,,ft,201.4,UNKNOWN,Unknown,201.4,3695.18,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,994,2022-03-27T00:00:00-06:00,,,ft,203.5,UNKNOWN,Unknown,203.5,3693.08,,UNKNOWN,DWR (Manual),,38.864183,-102.052137
CODWR,1088,1997-01-14T00:00:00-07:00,,,ft,110.27,UNKNOWN,Unknown,110.27,4455.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,1998-01-18T00:00:00-07:00,,,ft,110.87,UNKNOWN,Unknown,110.87,4454.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,1999-01-19T00:00:00-07:00,,,ft,110.75,UNKNOWN,Unknown,110.75,4454.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2000-01-20T00:00:00-07:00,,,ft,110.97,UNKNOWN,Unknown,110.97,4454.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2000-12-28T00:00:00-07:00,,,ft,111.51,UNKNOWN,Unknown,111.51,4453.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2003-12-29T00:00:00-07:00,,,ft,112.51,UNKNOWN,Unknown,112.51,4452.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2004-12-21T00:00:00-07:00,,,ft,112.75,UNKNOWN,Unknown,112.75,4452.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2006-01-10T00:00:00-07:00,,,ft,114.02,UNKNOWN,Unknown,114.02,4451.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2007-04-17T00:00:00-06:00,,,ft,111.9,UNKNOWN,Unknown,111.9,4453.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2008-01-07T00:00:00-07:00,,,ft,112.5,UNKNOWN,Unknown,112.5,4453.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2009-04-06T00:00:00-06:00,,,ft,115.22,UNKNOWN,Unknown,115.22,4450.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2010-02-06T00:00:00-07:00,,,ft,107.0,UNKNOWN,Unknown,107.0,4458.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2011-01-04T00:00:00-07:00,,,ft,106.8,UNKNOWN,Unknown,106.8,4458.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2012-02-06T00:00:00-07:00,,,ft,106.2,UNKNOWN,Unknown,106.2,4459.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2013-02-26T00:00:00-07:00,,,ft,108.7,UNKNOWN,Unknown,108.7,4456.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2014-02-25T00:00:00-07:00,,,ft,109.9,UNKNOWN,Unknown,109.9,4455.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2014-12-18T00:00:00-07:00,,,ft,145.1,UNKNOWN,Unknown,145.1,4420.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2017-03-15T00:00:00-06:00,,,ft,107.9,UNKNOWN,Unknown,107.9,4457.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2018-03-28T00:00:00-06:00,,,ft,107.2,UNKNOWN,Unknown,107.2,4458.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2019-03-31T00:00:00-06:00,,,ft,107.5,UNKNOWN,Unknown,107.5,4458.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2020-03-31T00:00:00-06:00,,,ft,107.3,UNKNOWN,Unknown,107.3,4458.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2021-03-29T00:00:00-06:00,,,ft,108.1,UNKNOWN,Unknown,108.1,4457.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,1088,2022-03-26T00:00:00-06:00,,,ft,107.9,UNKNOWN,Unknown,107.9,4457.0,,UNKNOWN,DWR (Manual),,39.015403,-102.659277
CODWR,149871,2010-02-07T00:00:00-07:00,,,ft,219.4,UNKNOWN,Unknown,219.4,3903.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,149871,2011-01-03T00:00:00-07:00,,,ft,214.3,UNKNOWN,Unknown,214.3,3908.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,149871,2012-02-06T00:00:00-07:00,,,ft,212.6,UNKNOWN,Unknown,212.6,3909.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,149871,2013-02-26T00:00:00-07:00,,,ft,215.2,UNKNOWN,Unknown,215.2,3907.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,149871,2014-02-25T00:00:00-07:00,,,ft,217.4,UNKNOWN,Unknown,217.4,3905.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,149871,2014-12-18T00:00:00-07:00,,,ft,222.0,UNKNOWN,Unknown,222.0,3900.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,149871,2017-03-13T00:00:00-06:00,,,ft,218.5,UNKNOWN,Unknown,218.5,3904.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,149871,2018-03-19T00:00:00-06:00,,,ft,220.2,UNKNOWN,Unknown,220.2,3902.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,149871,2019-03-30T00:00:00-06:00,,,ft,219.6,UNKNOWN,Unknown,219.6,3902.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,149871,2020-03-31T00:00:00-06:00,,,ft,219.8,UNKNOWN,Unknown,219.8,3902.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,149871,2021-03-30T00:00:00-06:00,,,ft,222.1,UNKNOWN,Unknown,222.1,3900.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,149871,2022-03-28T00:00:00-06:00,,,ft,223.7,UNKNOWN,Unknown,223.7,3898.0,,UNKNOWN,DWR (Manual),,38.854333,-102.237606
CODWR,998,1993-01-26T00:00:00-07:00,,,ft,253.77,UNKNOWN,Unknown,253.77,3708.78,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,1994-01-13T00:00:00-07:00,,,ft,254.05,UNKNOWN,Unknown,254.05,3708.5,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,1995-01-15T00:00:00-07:00,,,ft,255.68,UNKNOWN,Unknown,255.68,3706.87,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,1995-12-21T00:00:00-07:00,,,ft,257.94,UNKNOWN,Unknown,257.94,3704.61,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,1997-01-16T00:00:00-07:00,,,ft,259.74,UNKNOWN,Unknown,259.74,3702.81,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,1998-01-17T00:00:00-07:00,,,ft,261.88,UNKNOWN,Unknown,261.88,3700.67,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,1999-01-21T00:00:00-07:00,,,ft,263.0,UNKNOWN,Unknown,263.0,3699.55,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2000-01-18T00:00:00-07:00,,,ft,264.32,UNKNOWN,Unknown,264.32,3698.23,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2000-12-28T00:00:00-07:00,,,ft,270.05,UNKNOWN,Unknown,270.05,3692.5,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2001-12-26T00:00:00-07:00,,,ft,271.83,UNKNOWN,Unknown,271.83,3690.72,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2002-12-26T00:00:00-07:00,,,ft,276.4,UNKNOWN,Unknown,276.4,3686.15,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2003-12-23T00:00:00-07:00,,,ft,276.16,UNKNOWN,Unknown,276.16,3686.39,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2004-12-20T00:00:00-07:00,,,ft,277.92,UNKNOWN,Unknown,277.92,3684.63,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2006-02-01T00:00:00-07:00,,,ft,279.12,UNKNOWN,Unknown,279.12,3683.43,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2007-04-09T00:00:00-06:00,,,ft,283.29,UNKNOWN,Unknown,283.29,3679.26,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2008-01-26T00:00:00-07:00,,,ft,287.29,UNKNOWN,Unknown,287.29,3675.26,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2009-04-12T00:00:00-06:00,,,ft,289.42,UNKNOWN,Unknown,289.42,3673.13,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2010-02-15T00:00:00-07:00,,,ft,284.4,UNKNOWN,Unknown,284.4,3678.15,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2018-04-02T00:00:00-06:00,,,ft,273.4,UNKNOWN,Unknown,273.4,3689.15,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2019-03-31T00:00:00-06:00,,,ft,274.6,UNKNOWN,Unknown,274.6,3687.95,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2020-03-25T00:00:00-06:00,,,ft,276.0,UNKNOWN,Unknown,276.0,3686.55,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2021-03-26T00:00:00-06:00,,,ft,276.6,UNKNOWN,Unknown,276.6,3685.95,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,998,2022-03-22T00:00:00-06:00,,,ft,278.9,UNKNOWN,Unknown,278.9,3683.65,,UNKNOWN,DWR (Manual),,38.803623,-102.109359
CODWR,149709,2008-03-20T00:00:00-06:00,,,ft,123.77,UNKNOWN,Unknown,123.77,4208.0,,UNKNOWN,DWR (Manual),,39.029324,-102.429219
CODWR,149709,2010-02-15T00:00:00-07:00,,,ft,131.4,UNKNOWN,Unknown,131.4,4201.0,,UNKNOWN,DWR (Manual),,39.029324,-102.429219
CODWR,149709,2011-01-04T00:00:00-07:00,,,ft,137.55,UNKNOWN,Unknown,137.55,4194.0,,UNKNOWN,DWR (Manual),,39.029324,-102.429219
CODWR,149709,2012-02-06T00:00:00-07:00,,,ft,140.3,UNKNOWN,Unknown,140.3,4192.0,,UNKNOWN,DWR (Manual),,39.029324,-102.429219
CODWR,149709,2013-02-26T00:00:00-07:00,,,ft,140.2,UNKNOWN,Unknown,140.2,4192.0,,UNKNOWN,DWR (Manual),,39.029324,-102.429219
CODWR,149709,2014-02-25T00:00:00-07:00,,,ft,142.7,UNKNOWN,Unknown,142.7,4189.0,,UNKNOWN,DWR (Manual),,39.029324,-102.429219
CODWR,149709,2014-12-18T00:00:00-07:00,,,ft,149.6,UNKNOWN,Unknown,149.6,4182.0,,UNKNOWN,DWR (Manual),,39.029324,-102.429219
CODWR,149709,2019-03-21T00:00:00-06:00,,,ft,151.6,UNKNOWN,Unknown,151.6,4180.0,,UNKNOWN,DWR (Manual),,39.029324,-102.429219
CODWR,149709,2020-03-31T00:00:00-06:00,,,ft,220.3,UNKNOWN,Unknown,220.3,4112.0,,UNKNOWN,DWR (Manual),,39.029324,-102.429219
CODWR,149709,2021-03-30T00:00:00-06:00,,,ft,155.8,UNKNOWN,Unknown,155.8,4176.0,,UNKNOWN,DWR (Manual),,39.029324,-102.429219
CODWR,149709,2022-03-26T00:00:00-06:00,,,ft,157.6,UNKNOWN,Unknown,157.6,4174.0,,UNKNOWN,DWR (Manual),,39.029324,-102.429219
CODWR,149710,2008-03-20T00:00:00-06:00,,,ft,177.02,UNKNOWN,Unknown,177.02,4236.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149710,2009-04-04T00:00:00-06:00,,,ft,180.0,UNKNOWN,Unknown,180.0,4233.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149710,2010-02-15T00:00:00-07:00,,,ft,170.15,UNKNOWN,Unknown,170.15,4243.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149710,2011-01-04T00:00:00-07:00,,,ft,169.85,UNKNOWN,Unknown,169.85,4243.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149710,2012-02-06T00:00:00-07:00,,,ft,169.5,UNKNOWN,Unknown,169.5,4244.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149710,2013-02-26T00:00:00-07:00,,,ft,171.85,UNKNOWN,Unknown,171.85,4241.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149710,2014-02-25T00:00:00-07:00,,,ft,171.85,UNKNOWN,Unknown,171.85,4241.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149710,2018-03-31T00:00:00-06:00,,,ft,177.6,UNKNOWN,Unknown,177.6,4235.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149710,2019-03-21T00:00:00-06:00,,,ft,171.4,UNKNOWN,Unknown,171.4,4242.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149710,2020-03-31T00:00:00-06:00,,,ft,173.9,UNKNOWN,Unknown,173.9,4239.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149710,2021-03-29T00:00:00-06:00,,,ft,176.05,UNKNOWN,Unknown,176.05,4237.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149710,2022-03-26T00:00:00-06:00,,,ft,176.7,UNKNOWN,Unknown,176.7,4236.0,,UNKNOWN,DWR (Manual),,39.024406,-102.44894
CODWR,149687,2008-03-08T00:00:00-07:00,,,ft,121.89,UNKNOWN,Unknown,121.89,3976.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2009-04-07T00:00:00-06:00,,,ft,124.9,UNKNOWN,Unknown,124.9,3973.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2010-02-12T00:00:00-07:00,,,ft,123.2,UNKNOWN,Unknown,123.2,3975.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2011-01-03T00:00:00-07:00,,,ft,123.2,UNKNOWN,Unknown,123.2,3975.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2012-02-06T00:00:00-07:00,,,ft,125.6,UNKNOWN,Unknown,125.6,3972.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2013-02-26T00:00:00-07:00,,,ft,125.0,UNKNOWN,Unknown,125.0,3973.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2014-02-25T00:00:00-07:00,,,ft,125.6,UNKNOWN,Unknown,125.6,3972.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2014-12-18T00:00:00-07:00,,,ft,126.3,UNKNOWN,Unknown,126.3,3972.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2017-03-15T00:00:00-06:00,,,ft,119.2,UNKNOWN,Unknown,119.2,3979.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2018-03-27T00:00:00-06:00,,,ft,121.7,UNKNOWN,Unknown,121.7,3976.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2019-03-31T00:00:00-06:00,,,ft,121.6,UNKNOWN,Unknown,121.6,3976.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2020-03-26T00:00:00-06:00,,,ft,123.3,UNKNOWN,Unknown,123.3,3975.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2021-03-29T00:00:00-06:00,,,ft,123.1,UNKNOWN,Unknown,123.1,3975.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149687,2022-03-27T00:00:00-06:00,,,ft,124.2,UNKNOWN,Unknown,124.2,3974.0,,UNKNOWN,DWR (Manual),,38.961036,-102.213236
CODWR,149688,2008-03-10T00:00:00-06:00,,,ft,197.79,UNKNOWN,Unknown,197.79,4026.0,,UNKNOWN,DWR (Manual),,39.045841,-102.239088
CODWR,149688,2009-04-07T00:00:00-06:00,,,ft,200.59,UNKNOWN,Unknown,200.59,4023.0,,UNKNOWN,DWR (Manual),,39.045841,-102.239088
CODWR,149688,2010-02-12T00:00:00-07:00,,,ft,195.66,UNKNOWN,Unknown,195.66,4028.0,,UNKNOWN,DWR (Manual),,39.045841,-102.239088
CODWR,149688,2011-01-03T00:00:00-07:00,,,ft,198.02,UNKNOWN,Unknown,198.02,4026.0,,UNKNOWN,DWR (Manual),,39.045841,-102.239088
CODWR,149688,2012-02-06T00:00:00-07:00,,,ft,202.3,UNKNOWN,Unknown,202.3,4022.0,,UNKNOWN,DWR (Manual),,39.045841,-102.239088
